table,dataset,kind,layer,description,grain,rows,columns,data_year_min,data_year_max,tier_a,tier_b,tier_c,tier_c_share,source_path,licences,raw_redistribution,health,health_reason
destination_parameters_eu27,model,output,result,"The destination's benchmark inputs per segment and sale year: distance, stock, fleet intensity, grid, operating life.",market;country;segment;cohort_year,27,32,2024,2024,11,2,14,0.5185,data/auto/output/destination_parameters_eu27.csv,cc_by_4_0;eurostat_reuse,open,watch,tier C on 52% of rows
destination_parameters_jp,model,output,result,"The destination's benchmark inputs per segment and sale year: distance, stock, fleet intensity, grid, operating life.",market;country;segment;cohort_year,4,32,2024,2025,0,4,0,0.0,data/auto/output/destination_parameters_jp.csv,airia_terms;cc_by_4_0;jp_estat_terms;jp_gov_publication,open,ok,"rows present, nothing flagged"
destination_parameters_kr,model,output,result,"The destination's benchmark inputs per segment and sale year: distance, stock, fleet intensity, grid, operating life.",market;country;segment;cohort_year,9,32,2024,2026,0,0,9,1.0,data/auto/output/destination_parameters_kr.csv,cc_by_4_0;kr_public_data,open,watch,tier C on 100% of rows
destination_parameters_us,model,output,result,"The destination's benchmark inputs per segment and sale year: distance, stock, fleet intensity, grid, operating life.",market;country;segment;cohort_year,3,32,2024,2026,0,0,3,1.0,data/auto/output/destination_parameters_us.csv,cc_by_4_0;us_public_domain,open,watch,tier C on 100% of rows
emission_targets_au,emission_targets,processed,processed,"The scenario rates: the observed trend and the committed path, with the policy each was derived from and the year it was announced.",country;scenario;rate;source_id,4,12,2022,2024,2,2,0,0.0,data/auto/emission_targets/processed/emission_targets_au.csv,cc_by_4_0;unfccc_public_domain,open,ok,"rows present, nothing flagged"
emission_targets_eu27,emission_targets,processed,processed,"The scenario rates: the observed trend and the committed path, with the policy each was derived from and the year it was announced.",country;scenario;rate;source_id,108,12,2024,2024,54,54,0,0.0,data/auto/emission_targets/processed/emission_targets_eu27.csv,cc_by_4_0;eurostat_reuse,open,ok,"rows present, nothing flagged"
emission_targets_jp,emission_targets,processed,processed,"The scenario rates: the observed trend and the committed path, with the policy each was derived from and the year it was announced.",country;scenario;rate;source_id,4,12,2024,2025,2,2,0,0.0,data/auto/emission_targets/processed/emission_targets_jp.csv,cc_by_4_0;jp_gov_publication,open,ok,"rows present, nothing flagged"
emission_targets_kr,emission_targets,processed,processed,"The scenario rates: the observed trend and the committed path, with the policy each was derived from and the year it was announced.",country;scenario;rate;source_id,4,12,2021,2024,2,2,0,0.0,data/auto/emission_targets/processed/emission_targets_kr.csv,cc_by_4_0;kr_public_data,open,ok,"rows present, nothing flagged"
emission_targets_us,emission_targets,processed,processed,"The scenario rates: the observed trend and the committed path, with the policy each was derived from and the year it was announced.",country;scenario;rate;source_id,4,12,2023,2024,2,2,0,0.0,data/auto/emission_targets/processed/emission_targets_us.csv,cc_by_4_0;us_public_domain,open,ok,"rows present, nothing flagged"
epa_automotive_trends_my2024,vehicle_technology,raw,input,US EPA certification and inventory data.,,1978,164,,,0,0,0,,data/auto/vehicle_technology/raw/epa_automotive_trends_my2024.csv,,,ok,"rows present, nothing flagged"
epa_carline_map,vehicle_technology,method,input,US EPA certification and inventory data.,,83,4,,,0,0,0,,data/auto/vehicle_technology/method/epa_carline_map.csv,,,ok,"rows present, nothing flagged"
epa_fueleconomy_vehicles,vehicle_technology,raw,input,US EPA certification and inventory data.,model;year,50242,84,1984,2027,0,0,0,,data/auto/vehicle_technology/raw/epa_fueleconomy_vehicles.csv,,,ok,"rows present, nothing flagged"
epa_ghg_inventory_2025_table_3_13,country_emissions,raw,input,US EPA certification and inventory data.,year;source_id;table,28,9,1990,2023,0,0,0,,data/auto/country_emissions/raw/epa_ghg_inventory_2025_table_3_13.csv,us_public_domain,open,ok,"rows present, nothing flagged"
epa_ghg_inventory_2025_table_a_91,country_emissions,raw,input,US EPA certification and inventory data.,year;source_id;table,33,9,1990,2023,0,0,0,,data/auto/country_emissions/raw/epa_ghg_inventory_2025_table_a_91.csv,us_public_domain,open,ok,"rows present, nothing flagged"
epa_ghg_inventory_2025_table_a_93,country_emissions,raw,input,US EPA certification and inventory data.,year;source_id;table,14,8,1990,2023,0,0,0,,data/auto/country_emissions/raw/epa_ghg_inventory_2025_table_a_93.csv,us_public_domain,open,ok,"rows present, nothing flagged"
epa_trends_powertrain_share_my2024,vehicle_technology,processed,processed,US EPA certification and inventory data.,powertrain;source_id,42,12,2024,2024,0,42,0,0.0,data/auto/vehicle_technology/processed/epa_trends_powertrain_share_my2024.csv,us_public_domain,open,ok,"rows present, nothing flagged"
eu_climate_targets,emission_targets,raw,input,,source_id,3,12,,,0,0,0,,data/auto/emission_targets/raw/eu_climate_targets.csv,,,ok,"rows present, nothing flagged"
fuel_carbon_factors,vehicle_technology,method,input,"Carbon per litre of each fuel, for converting a label economy to CO2.",source_id,3,4,,,0,0,0,,data/auto/vehicle_technology/method/fuel_carbon_factors.csv,,,ok,"rows present, nothing flagged"
gir_inventory_co2_1990_2023,country_emissions,raw,input,Korea national greenhouse-gas inventory.,,162,35,,,0,0,0,,data/auto/country_emissions/raw/gir_inventory_co2_1990_2023.csv,,,ok,"rows present, nothing flagged"
global_sales_totals,sales,processed,processed,"Each company's own worldwide sales figure, the coverage denominator.",company;cohort_year;source_id,17,12,2016,2026,12,5,0,0.0,data/auto/sales/processed/global_sales_totals.csv,company_ir,no,unlicensed,a raw file behind this table may not be republished
hs_passenger_cars,trade_flows,method,input,The HS commodity codes the trade flows are drawn on.,,13,4,,,0,0,0,,data/auto/trade_flows/method/hs_passenger_cars.csv,,,ok,"rows present, nothing flagged"
hydrogen_supply,vehicle_technology,method,input,The electricity an electrolyser draws per unit of hydrogen energy.,parameter;source_id,2,5,,,0,0,0,,data/auto/vehicle_technology/method/hydrogen_supply.csv,,,ok,"rows present, nothing flagged"
hyundai_plant_codes,sales,method,input,,country,14,3,,,0,0,0,,data/auto/sales/method/hyundai_plant_codes.csv,,,ok,"rows present, nothing flagged"
jada_brand_registrations_jp,sales,processed,processed,JADA registration statistics for Japan.,company;cohort_year;source_id,22,10,2024,2025,22,0,0,0.0,data/auto/sales/processed/jada_brand_registrations_jp.csv,jada_terms,derived_only,ok,"rows present, nothing flagged"
jada_brands,sales,method,input,JADA registration statistics for Japan.,company,17,4,,,0,0,0,,data/auto/sales/method/jada_brands.csv,,,ok,"rows present, nothing flagged"
jada_fuel_mix_jp,sales,processed,processed,JADA registration statistics for Japan.,company;cohort_year;powertrain;source_id,133,11,2024,2025,133,0,0,0.0,data/auto/sales/processed/jada_fuel_mix_jp.csv,jada_terms,derived_only,ok,"rows present, nothing flagged"
jp_climate_targets,emission_targets,raw,input,,source_id,3,14,,,0,0,0,,data/auto/emission_targets/raw/jp_climate_targets.csv,,,ok,"rows present, nothing flagged"
jp_labels,sales,method,input,Each JADA nameplate resolved to a fuel-economy-list nameplate.,company;segment,22,5,,,0,0,0,,data/auto/sales/method/jp_labels.csv,,,ok,"rows present, nothing flagged"
jp_maker_map,vehicle_technology,method,input,,company,11,5,,,0,0,0,,data/auto/vehicle_technology/method/jp_maker_map.csv,,,ok,"rows present, nothing flagged"
jp_model_names,sales,method,input,,,43,3,,,0,0,0,,data/auto/sales/method/jp_model_names.csv,,,ok,"rows present, nothing flagged"
jp_segment_map,vehicle_usage,method,input,,segment,26,7,,,0,0,0,,data/auto/vehicle_usage/method/jp_segment_map.csv,,,ok,"rows present, nothing flagged"
kea_vehicle_fuel_economy_labels,vehicle_technology,raw,input,Korea Energy Agency fuel-economy labels.,,4203,9,,,0,0,0,,data/auto/vehicle_technology/raw/kea_vehicle_fuel_economy_labels.csv,,,ok,"rows present, nothing flagged"
kia_labels,sales,method,input,Kia IR market and plant labels resolved to country codes.,kind,24,4,,,0,0,0,,data/auto/sales/method/kia_labels.csv,,,ok,"rows present, nothing flagged"
kotsa_road_ghg_by_vehicle_type,country_emissions,raw,input,Korea Transportation Safety Authority statistics.,,221,6,,,0,0,0,,data/auto/country_emissions/raw/kotsa_road_ghg_by_vehicle_type.csv,,,ok,"rows present, nothing flagged"
kr_climate_targets,emission_targets,raw,input,,source_id,9,14,,,0,0,0,,data/auto/emission_targets/raw/kr_climate_targets.csv,,,ok,"rows present, nothing flagged"
kr_labels,sales,method,input,Each Korean IR label resolved to a KEA nameplate and a powertrain rule.,company;model;powertrain;segment,61,7,,,0,0,0,,data/auto/sales/method/kr_labels.csv,,,ok,"rows present, nothing flagged"
kr_model_map,vehicle_technology,method,input,,company,59,5,,,0,0,0,,data/auto/vehicle_technology/method/kr_model_map.csv,,,ok,"rows present, nothing flagged"
licences,auto,registry,catalogue,"The distinct licences, with the canonical URL and whether the raw file may be republished.",licence_id,18,8,,,0,0,0,,data/auto/registry/licences.csv,,,ok,"rows present, nothing flagged"
map_geometry,dashboard,raw,input,The world boundary geometry the dashboard draws.,,1,3,,,0,0,0,,data/auto/dashboard/raw/countries-110m.json,,,ok,"rows present, nothing flagged"
ndc_anchors,emission_targets,raw,input,,country;source_id,2,11,,,0,0,0,,data/auto/emission_targets/raw/ndc_anchors.csv,unfccc_public_domain,open,ok,"rows present, nothing flagged"
nhtsa_809952_passenger_car_survival,vehicle_usage,raw,input,US NHTSA vehicle survival schedule.,source_id;table,25,9,,,0,0,0,,data/auto/vehicle_usage/raw/nhtsa_809952_passenger_car_survival.csv,us_public_domain,open,ok,"rows present, nothing flagged"
nier_manufacturer_fleet_co2_2012_2020,vehicle_technology,raw,input,Korea National Institute of Environmental Research fleet data.,,174,29,,,0,0,0,,data/auto/vehicle_technology/raw/nier_manufacturer_fleet_co2_2012_2020.csv,,,ok,"rows present, nothing flagged"
nissan_global_sales_2025,sales,raw,input,,table,28,6,,,0,0,0,,data/auto/sales/raw/nissan_global_sales_2025.csv,,,ok,"rows present, nothing flagged"
nissan_us_sales_2025,sales,raw,input,,table,43,5,,,0,0,0,,data/auto/sales/raw/nissan_us_sales_2025.csv,,,ok,"rows present, nothing flagged"
owid_carbon_intensity_electricity,country_emissions,raw,input,Our World in Data / Ember grid intensity.,,6332,4,,,0,0,0,,data/auto/country_emissions/raw/owid_carbon_intensity_electricity.csv,,,ok,"rows present, nothing flagged"
raw_files,auto,registry,catalogue,"Every raw file on disk, with its SHA-256 and the source it came from.",dataset;file;source_id,126,6,,,0,0,0,,data/auto/registry/raw_files.csv,airia_terms;cc_by_4_0;company_ir;eurostat_reuse;isc;jada_terms;jp_estat_terms;jp_gov_publication;kr_public_data;mlit_terms;odbl_1_0;un_comtrade;unfccc_public_domain;us_public_domain,derived_only;no;open,unlicensed,a raw file behind this table may not be republished
real_world_correction,vehicle_technology,method,input,The lab-to-road correction per test cycle and powertrain.,powertrain;source_id,20,7,,,0,0,0,,data/auto/vehicle_technology/method/real_world_correction.csv,kr_public_data,open,ok,"rows present, nothing flagged"
redistribution,auto,registry,catalogue,Every raw file resolved to a redistribution verdict through its provider.,dataset;file;source_id;provider_id;licence_id,126,7,,,0,0,0,,data/auto/registry/redistribution.csv,airia_terms;cc_by_4_0;company_ir;eurostat_reuse;isc;jada_terms;jp_estat_terms;jp_gov_publication;kr_public_data;mlit_terms;odbl_1_0;un_comtrade;unfccc_public_domain;us_public_domain,derived_only;no;open,unlicensed,a raw file behind this table may not be republished
reference_trajectories_eu27,model,output,result,The benchmark path per sale year and scenario: what the destination's own trajectory implies for each year of a life.,market;country;segment;cohort_year;scenario;t,1260,12,2024,2048,0,0,0,,data/auto/output/reference_trajectories_eu27.csv,,,ok,"rows present, nothing flagged"
reference_trajectories_jp,model,output,result,The benchmark path per sale year and scenario: what the destination's own trajectory implies for each year of a life.,market;country;segment;cohort_year;scenario;t,140,12,2024,2043,0,0,0,,data/auto/output/reference_trajectories_jp.csv,,,ok,"rows present, nothing flagged"
reference_trajectories_kr,model,output,result,The benchmark path per sale year and scenario: what the destination's own trajectory implies for each year of a life.,market;country;segment;cohort_year;scenario;t,306,12,2024,2044,0,0,0,,data/auto/output/reference_trajectories_kr.csv,,,ok,"rows present, nothing flagged"
reference_trajectories_us,model,output,result,The benchmark path per sale year and scenario: what the destination's own trajectory implies for each year of a life.,market;country;segment;cohort_year;scenario;t,96,12,2024,2041,0,0,0,,data/auto/output/reference_trajectories_us.csv,,,ok,"rows present, nothing flagged"
sales_eea_eu27_2024,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain,2130,13,2024,2024,2130,0,0,0.0,data/auto/sales/processed/sales_eea_eu27_2024.csv,,,ok,"rows present, nothing flagged"
sales_hyundai_kr,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain;source_id,154,14,2024,2025,75,0,79,0.513,data/auto/sales/processed/sales_hyundai_kr.csv,company_ir,no,unlicensed,a raw file behind this table may not be republished
sales_hyundai_plant_2025,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain,113,13,2025,2025,0,113,0,0.0,data/auto/sales/processed/sales_hyundai_plant_2025.csv,,,ok,"rows present, nothing flagged"
sales_hyundai_us,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain;source_id,41,14,2024,2025,41,0,0,0.0,data/auto/sales/processed/sales_hyundai_us.csv,company_ir,no,unlicensed,a raw file behind this table may not be republished
sales_jada_jp,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain;source_id,42,15,2024,2025,42,0,0,0.0,data/auto/sales/processed/sales_jada_jp.csv,jada_terms,derived_only,ok,"rows present, nothing flagged"
sales_kia_ir_2024,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain,566,13,2024,2024,287,0,279,0.4929,data/auto/sales/processed/sales_kia_ir_2024.csv,,,ok,"rows present, nothing flagged"
sales_kia_ir_2025,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain,314,13,2025,2025,314,0,0,0.0,data/auto/sales/processed/sales_kia_ir_2025.csv,,,ok,"rows present, nothing flagged"
sales_kia_ir_2026,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain,290,13,2026,2026,290,0,0,0.0,data/auto/sales/processed/sales_kia_ir_2026.csv,,,ok,"rows present, nothing flagged"
sales_kia_us,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain;source_id,23,14,2024,2025,23,0,0,0.0,data/auto/sales/processed/sales_kia_us.csv,company_ir,no,unlicensed,a raw file behind this table may not be republished
sales_nissan_us,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain;source_id,42,14,2024,2025,42,0,0,0.0,data/auto/sales/processed/sales_nissan_us.csv,company_ir,no,unlicensed,a raw file behind this table may not be republished
sales_toyota_us,sales,processed,processed,Market-side sales volumes as the exporter or the registration authority reports.,company;destination;cohort_year;model;powertrain;source_id,110,14,2024,2025,110,0,0,0.0,data/auto/sales/processed/sales_toyota_us.csv,company_ir,no,unlicensed,a raw file behind this table may not be republished
schema_columns,auto,registry,catalogue,,table,1561,12,,,0,0,0,,data/auto/registry/schema_columns.csv,,,ok,"rows present, nothing flagged"
schema_relations,auto,registry,catalogue,,kind,87,5,,,0,0,0,,data/auto/registry/schema_relations.csv,,,ok,"rows present, nothing flagged"
schema_tables,auto,registry,catalogue,,table;dataset;kind,118,19,,,0,0,0,,data/auto/registry/schema_tables.csv,,,ok,"rows present, nothing flagged"
scope,auto,registry,catalogue,What the automotive case study covers and what it does not.,,2,3,,,0,0,0,,data/auto/registry/scope.csv,,,ok,"rows present, nothing flagged"
sources,auto,registry,catalogue,"Every source the project draws on: publisher, title, link, how it was obtained.",source_id;provider_id,55,9,,,0,0,0,,data/auto/registry/sources.csv,airia_terms;cc_by_4_0;company_ir;eurostat_reuse;isc;jada_terms;jp_estat_terms;jp_gov_publication;kr_public_data;mlit_terms;odbl_1_0;un_comtrade;unfccc_public_domain;us_public_domain,derived_only;no;open,unlicensed,a raw file behind this table may not be republished
target_set,model,output,result,"The unit of analysis, with guideline 6.3's market-selection criteria marked met or failed.",company;market;cohort_year;segment,44,23,2024,2026,0,0,0,,data/auto/output/target_set.csv,,,ok,"rows present, nothing flagged"
ti_annual,model,output,result,"The year-by-year impact flow of each cohort, benchmark and product side by side.",market;company;cohort_year;scenario;t,668,14,2024,2048,0,0,0,,data/auto/output/ti_annual.csv,,,ok,"rows present, nothing flagged"
ti_annual_by_model,model,output,result,The same annual flow at cell level.,market;company;destination;cohort_year;segment;model;powertrain;scenario;t,85238,18,2024,2048,0,38494,46744,0.5484,data/auto/output/ti_annual_by_model.csv,,,watch,tier C on 55% of rows
ti_annual_country,model,output,result,The annual flow by destination.,company;market;cohort_year;destination;scenario;t,4516,16,2024,2048,0,0,0,,data/auto/output/ti_annual_country.csv,,,ok,"rows present, nothing flagged"
ti_annual_powertrain,model,output,result,The annual flow by powertrain.,company;market;cohort_year;powertrain;scenario;t,2300,16,2024,2048,0,0,0,,data/auto/output/ti_annual_powertrain.csv,,,ok,"rows present, nothing flagged"
ti_by_model,model,output,result,The result cell: lifetime trade impact per market x company x destination x model x powertrain x scenario.,market;company;destination;segment;model;powertrain;scenario;cohort_year,4692,27,2024,2026,0,2114,2578,0.5494,data/auto/output/ti_by_model.csv,,,watch,tier C on 55% of rows
ti_company,model,output,result,"Company x market x sale year totals, the headline table.",company;market;scenario;cohort_year,44,14,2024,2026,0,0,0,,data/auto/output/ti_company.csv,,,ok,"rows present, nothing flagged"
ti_country,model,output,result,Destination-country totals.,company;market;cohort_year;destination;scenario,244,9,2024,2026,0,0,0,,data/auto/output/ti_country.csv,,,ok,"rows present, nothing flagged"
ti_coverage,model,output,result,"Every company x destination held, assessed or not, and why not.",company;destination;cohort_year;market,178,15,2024,2026,0,0,0,,data/auto/output/ti_coverage.csv,,,ok,"rows present, nothing flagged"
ti_crossover,model,output,result,"The year each cell crosses its benchmark, or why it never does.",market;company;destination;model;powertrain;scenario,4692,11,,,0,0,0,,data/auto/output/ti_crossover.csv,,,ok,"rows present, nothing flagged"
ti_data_quality,model,output,result,The guideline 5.3 data-quality declaration per company x market x year.,company;market;cohort_year,22,31,2024,2026,0,0,0,,data/auto/output/ti_data_quality.csv,,,ok,"rows present, nothing flagged"
ti_exclusions,model,output,result,Market x scenario combinations with no benchmark at all.,market;company;scenario;cohort_year,0,6,,,0,0,0,,data/auto/output/ti_exclusions.csv,,,empty,no rows
ti_global_coverage,model,output,result,How much of each company's worldwide sales the assessed markets cover.,company;cohort_year;source_id,9,17,2024,2026,0,0,0,,data/auto/output/ti_global_coverage.csv,company_ir,no,unlicensed,a raw file behind this table may not be republished
ti_powertrain,model,output,result,Totals by powertrain.,company;market;cohort_year;powertrain;scenario,152,9,2024,2026,0,0,0,,data/auto/output/ti_powertrain.csv,,,ok,"rows present, nothing flagged"
ti_sensitivity,model,output,result,How the total moves when one input is moved.,company;market;cohort_year;scenario;parameter,484,8,2024,2026,0,0,0,,data/auto/output/ti_sensitivity.csv,,,ok,"rows present, nothing flagged"
ti_source_reconciliation,model,output,result,"Every source held for the same company, destination and year, side by side.",company;destination;cohort_year;source_id,168,12,2024,2026,0,0,0,,data/auto/output/ti_source_reconciliation.csv,cc_by_4_0;company_ir;jada_terms,derived_only;no;open,unlicensed,a raw file behind this table may not be republished
ti_withheld,model,output,result,"Units carrying no result, with the reason.",market;company;destination;cohort_year;segment;model;powertrain,181,10,2024,2026,0,0,0,,data/auto/output/ti_withheld.csv,,,ok,"rows present, nothing flagged"
tiers,auto,registry,catalogue,The A/B/C data-quality hierarchy the whole model declares against.,source_id,3,5,,,1,1,1,0.3333,data/auto/registry/tiers.csv,,,ok,"rows present, nothing flagged"
tmna_us_sales_2025,sales,raw,input,,table,86,5,,,0,0,0,,data/auto/sales/raw/tmna_us_sales_2025.csv,,,ok,"rows present, nothing flagged"
trade_flows,trade_flows,processed,processed,Official HS 8703 trade statistics by powertrain class.,year;source_id,4506,15,2022,2025,2181,2325,0,0.0,data/auto/trade_flows/processed/trade_flows.csv,eurostat_reuse;un_comtrade,derived_only;open,ok,"rows present, nothing flagged"
us_model_map,sales,method,input,Each US release's model name resolved to an EPA base model and a powertrain rule.,company;powertrain,68,9,,,0,0,0,,data/auto/sales/method/us_model_map.csv,,,ok,"rows present, nothing flagged"
us_release_origin_split,sales,processed,processed,,company;cohort_year;source_id,12,9,2024,2025,12,0,0,0.0,data/auto/sales/processed/us_release_origin_split.csv,company_ir,no,unlicensed,a raw file behind this table may not be republished
value_tiers,auto,registry,catalogue,The rules that assign a tier to every value in every processed table.,,63,5,,,33,17,13,0.2063,data/auto/registry/value_tiers.csv,,,ok,"rows present, nothing flagged"
vehicle_technology_eea_2024,vehicle_technology,processed,processed,Certified product values per model and powertrain.,company;destination;model;powertrain;cohort_year;source_id,2130,15,2024,2024,2130,0,0,0.0,data/auto/vehicle_technology/processed/vehicle_technology_eea_2024.csv,cc_by_4_0,open,ok,"rows present, nothing flagged"
vehicle_technology_jp_mlit,vehicle_technology,processed,processed,Certified product values per model and powertrain.,company;segment;model;powertrain;source_id,57,15,,,57,0,0,0.0,data/auto/vehicle_technology/processed/vehicle_technology_jp_mlit.csv,mlit_terms,open,ok,"rows present, nothing flagged"
vehicle_technology_kr_kea,vehicle_technology,processed,processed,Certified product values per model and powertrain.,company;segment;model;powertrain;source_id,90,12,,,0,90,0,0.0,data/auto/vehicle_technology/processed/vehicle_technology_kr_kea.csv,kr_public_data,open,ok,"rows present, nothing flagged"
vehicle_technology_us_epa,vehicle_technology,processed,processed,Certified product values per model and powertrain.,company;model;powertrain;source_id,358,13,2024,2025,358,0,0,0.0,data/auto/vehicle_technology/processed/vehicle_technology_us_epa.csv,us_public_domain,open,ok,"rows present, nothing flagged"
vehicle_usage_au,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,15,9,2016,2021,15,0,0,0.0,data/auto/vehicle_usage/processed/vehicle_usage_au.csv,cc_by_4_0,open,ok,"rows present, nothing flagged"
vehicle_usage_au_smvu,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,15,9,2012,2020,0,15,0,0.0,data/auto/vehicle_usage/processed/vehicle_usage_au_smvu.csv,cc_by_4_0,open,ok,"rows present, nothing flagged"
vehicle_usage_eu27,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,2081,9,2015,2025,1972,0,109,0.0524,data/auto/vehicle_usage/processed/vehicle_usage_eu27.csv,eurostat_reuse,open,ok,"rows present, nothing flagged"
vehicle_usage_jp,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,24,9,2024,2025,0,24,0,0.0,data/auto/vehicle_usage/processed/vehicle_usage_jp.csv,jp_estat_terms,open,ok,"rows present, nothing flagged"
vehicle_usage_jp_lifetime,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,6,9,2025,2025,3,3,0,0.0,data/auto/vehicle_usage/processed/vehicle_usage_jp_lifetime.csv,airia_terms,open,ok,"rows present, nothing flagged"
vehicle_usage_kr,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,94,9,2007,2025,86,0,8,0.0851,data/auto/vehicle_usage/processed/vehicle_usage_kr.csv,kr_public_data,open,ok,"rows present, nothing flagged"
vehicle_usage_kr_traffic,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,72,9,2016,2024,72,0,0,0.0,data/auto/vehicle_usage/processed/vehicle_usage_kr_traffic.csv,kr_public_data,open,ok,"rows present, nothing flagged"
vehicle_usage_us,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,8,9,2022,2023,0,8,0,0.0,data/auto/vehicle_usage/processed/vehicle_usage_us.csv,us_public_domain,open,ok,"rows present, nothing flagged"
vehicle_usage_us_lifetime,vehicle_usage,processed,processed,"Distance, stock and vehicle age from the destination's own statistics.",country;series;year;source_id,3,9,2002,2002,0,0,3,1.0,data/auto/vehicle_usage/processed/vehicle_usage_us_lifetime.csv,us_public_domain,open,watch,tier C on 100% of rows
