table_pattern,column,value_pattern,tier,reason
vehicle_usage_kr_traffic,series,traffic_.*|daily_km_.*,A,KOTSA inspection odometer readings grossed up to the registered 승용 fleet
emission_targets_.*,target_level,observed_trend,A,log-linear trend of the country's own observed series
emission_targets_.*,target_level,ndc_prorata|ndc_prorata_s1_floor,B,national committed target applied pro-rata to passenger cars or to the grid
emission_targets_.*,target_level,1p5c_prorata,B,national 1.5 C or net-zero pathway applied pro-rata
emission_targets_.*,target_level,world_prorata,C,IEA world net-zero pathway used because no national 1.5 C sector pathway exists
emission_targets_.*,target_level,flag_no_ndc,C,no NDC in force: scenario excluded (FLAG market)
vehicle_technology_eea_2024,test_cycle,WLTP,A,EEA type-approval CO2 and energy consumption recorded on the registration itself
vehicle_technology_us_epa,test_cycle,EPA,A,EPA fuel economy label values per model year and trim
vehicle_technology_kr_kea,test_cycle,KR_5CYCLE,B,KEA label km/L converted to gCO2/km with EPA fuel carbon factors; km/kWh inverted to Wh/km (documented conversion of an authoritative label)
epa_trends_powertrain_share_my2024,make,.*,B,EPA certification production volumes for one model year used as powertrain shares of calendar-year sales
sales_eea_eu27_2024,basis,registrations,A,EEA first registrations by member state (registration authority)
sales_hyundai_us|sales_kia_us|sales_hyundai_kr|sales_toyota_us|sales_nissan_us,basis,brand_total_sales|domestic_sales,A,company's own market-side release for the destination
sales_hyundai_kr,basis,export_shipments,C,plant-side shipments without a stated destination; reconciliation only
sales_kia_ir_2026,basis,retail_sales,A,company's own market-side IR release (regions and countries as published)
sales_hyundai_plant_2025,basis,plant_sales,B,plant-side sales: units built at the destination's plants; imports from other plants are not in the source
trade_flows,quantity_flag,reported,A,customs declarations as reported to UN Comtrade
trade_flows,quantity_flag,estimated|member_state_sum|not_reported,B,quantity estimated by Comtrade or summed from member-state reporters
cohorts|ti_by_model|ti_annual_by_model|ti_crossover,test_cycle,WLTP|EPA,A,certified value from the destination's own type-approval or label authority
cohorts|ti_by_model|ti_annual_by_model|ti_crossover,test_cycle,KR_5CYCLE,B,label fuel economy converted to gCO2/km with published fuel carbon factors
cohorts,powertrain_rule,explicit|stated,A,powertrain stated by the sales release or the nameplate
cohorts,powertrain_rule,epa_share_my2024.*,B,nameplate split with EPA MY2024 production shares (assumption A-US-PT)
cohorts,powertrain_rule,kr_unsplit_central_ice.*,C,nameplate not split by the release; priced as ICE centrally with an all-HEV bound
cohorts,basis,registrations|brand_total_sales|domestic_sales|retail_sales,A,market-side volumes from the registration authority or the company's own release
ti_by_model|ti_annual_by_model|ti_crossover,vkt_tier,A,A,destination distance observed for the passenger-car population
ti_by_model|ti_annual_by_model|ti_crossover,vkt_tier,B,B,destination distance from a consistent but broader population (all light-duty vehicles)
ti_by_model|ti_annual_by_model|ti_crossover,vkt_tier,C,C,destination distance proxied (EU average or survey)
destination_parameters_.*,vkt_tier,A,A,distance observed for the passenger-car population
destination_parameters_.*,vkt_tier,B,B,distance from a consistent but broader population
destination_parameters_.*,vkt_tier,C,C,distance proxied
destination_parameters_.*,fleet_intensity_tier,B,B,fleet intensity on a broader but consistent population
destination_parameters_.*,fleet_intensity_tier,C,C,fleet intensity from a proxied share or an implausible ratio
destination_parameters_.*,mean_car_age_tier,C,C,mean age from a pooled or biased distribution
destination_parameters_.*,lifetime_tier,C,C,operating life from an old survival schedule or a biased mean age
sales_jada_jp,basis,registrations,A,"JADA new-vehicle registrations, the standard market-side count in Japan; the nameplate list is the published top 50 with kei cars and foreign brands excluded, which limits coverage rather than quality"
jada_fuel_mix_jp,powertrain,.*,A,"JADA registrations by maker and fuel as published; kei cars excluded, Lexus folded into Toyota, and Japanese-brand cars built abroad counted as imports"
jada_brand_registrations_jp,company,.*,A,"JADA registrations by brand including kei cars, with the imported part as published; the kei and import rows are preliminary until the kei association confirms them"
us_release_origin_split,origin,.*,A,"the company's own published split of its US volumes into North American production and imports"
company_us_totals_cross_check,basis,brand_total_sales,A,"a second figure published by the same company for the same market and year, transcribed with its URL to make the spread between its own publications visible"
global_sales_totals,basis,worldwide_sales,A,"the company's own published worldwide sales figure for that calendar year"
global_sales_totals,basis,worldwide_retail|worldwide_sales_derived,B,"a worldwide figure built from the company's own releases because it publishes no single total: Hyundai as Korea domestic plus exports plus overseas plant sales (the export leg being shipments), Kia as the sum of every destination in its retail workbook"
