country,iso3,fuel_type,year,capacity_gw,generation_twh,capacity_factor,cf_low,cf_high,years_used,proxy_fuel,source_id,note
BE,BEL,bioenergy,2023,0.64,3.79,0.676,0.676,0.8534,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BE,BEL,coal,2015,0.56,2.07,0.422,0.2817,0.6136,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BE,BEL,gas,2025,7.26,13.04,0.205,0.205,0.3694,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BE,BEL,hydro,2025,0.11,0.49,0.5085,0.2568,0.5232,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BE,BEL,nuclear,2024,3.93,31.25,0.9077,0.6617,0.9672,4,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BE,BEL,oil,2025,0.5,0.41,0.0936,0.0936,0.9292,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BE,BEL,solar,2025,10.4,10.46,0.1148,0.1014,0.1158,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BE,BEL,wind,2025,5.85,13.39,0.2613,0.2613,0.3234,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BJ,BEN,gas,2024,0.13,0.73,0.641,0.641,0.7815,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BJ,BEN,oil,2024,0.17,0.24,0.1612,0.1477,0.1612,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BF,BFA,oil,2024,0.4,1.4,0.3995,0.3995,0.4331,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BF,BFA,solar,2024,0.21,0.11,0.0598,0.0571,0.1712,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BD,BGD,coal,2025,7.36,22.24,0.3449,0.2267,0.3841,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BD,BGD,gas,2025,13.05,66.48,0.5815,0.5815,0.7021,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BD,BGD,hydro,2025,0.23,0.65,0.3226,0.3226,0.3623,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BD,BGD,oil,2025,7.83,12.47,0.1818,0.1818,0.3928,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BD,BGD,solar,2025,1.15,1.56,0.1549,0.1365,0.191,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BG,BGR,bioenergy,2017,0.05,0.4,0.9132,0.6164,0.9132,3,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BG,BGR,coal,2025,4.66,8.55,0.2094,0.2094,0.4868,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BG,BGR,gas,2025,1.18,1.85,0.179,0.179,0.2951,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BG,BGR,hydro,2025,2.55,2.53,0.1133,0.1133,0.2192,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BG,BGR,nuclear,2025,2.01,14.85,0.8434,0.8434,0.9365,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BG,BGR,solar,2025,5.91,6.91,0.1335,0.1321,0.1374,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BG,BGR,wind,2025,0.71,1.32,0.2122,0.2122,0.2577,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BH,BHR,gas,2024,9.28,37.85,0.4656,0.4656,0.5446,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BH,BHR,solar,2024,0.07,0.1,0.1631,0.1631,0.1826,3,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BS,BHS,oil,2024,0.93,2.23,0.2737,0.2492,0.2737,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BA,BIH,coal,2025,2.09,8.08,0.4413,0.4413,0.6117,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BA,BIH,hydro,2025,1.88,5.29,0.3212,0.2922,0.4188,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BA,BIH,solar,2025,0.67,0.59,0.1005,0.073,0.1359,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BA,BIH,wind,2025,0.24,0.37,0.176,0.176,0.318,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BY,BLR,bioenergy,2025,0.1,0.46,0.5251,0.4077,0.6279,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BY,BLR,gas,2025,9.76,25.25,0.2953,0.2953,0.3796,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BY,BLR,hydro,2024,0.09,0.4,0.5074,0.4224,0.5074,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BY,BLR,nuclear,2025,2.34,16.97,0.8279,0.4566,0.8279,4,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BY,BLR,solar,2024,0.26,0.26,0.1142,0.0888,0.1284,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BY,BLR,wind,2025,0.12,0.41,0.39,0.1712,0.39,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BZ,BLZ,hydro,2024,0.06,0.24,0.4566,0.3044,0.4566,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BZ,BLZ,oil,2024,0.15,0.06,0.0457,0.0457,0.0685,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BM,BMU,oil,2024,0.11,0.6,0.6227,0.6019,0.6538,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BO,BOL,bioenergy,2025,0.26,0.44,0.1932,0.1776,0.3751,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BO,BOL,gas,2025,2.35,8.51,0.4134,0.3081,0.5123,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BO,BOL,hydro,2025,0.72,3.8,0.6025,0.4397,0.6025,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BO,BOL,oil,2022,0.14,0.23,0.1875,0.1712,0.2365,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BO,BOL,solar,2025,0.19,0.4,0.2403,0.235,0.2537,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BO,BOL,wind,2025,0.14,0.28,0.2283,0.1142,0.3914,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BR,BRA,bioenergy,2025,18.36,55.12,0.3427,0.3427,0.3906,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BR,BRA,coal,2025,3.0,17.19,0.6541,0.4778,0.8702,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BR,BRA,gas,2025,19.45,54.85,0.3219,0.2479,0.5805,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BR,BRA,hydro,2025,110.27,388.63,0.4023,0.3786,0.4442,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BR,BRA,nuclear,2025,1.99,15.87,0.9104,0.8318,0.9104,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BR,BRA,oil,2025,8.01,12.65,0.1803,0.1712,0.2697,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BR,BRA,solar,2025,64.69,88.64,0.1564,0.1336,0.1564,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BR,BRA,wind,2025,34.87,117.58,0.3849,0.3757,0.393,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BB,BRB,oil,2024,0.3,0.98,0.3729,0.3729,0.4259,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BB,BRB,solar,2024,0.07,0.1,0.1631,0.1305,0.1631,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BN,BRN,coal,2024,0.22,1.1,0.5708,0.5708,0.6434,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BN,BRN,gas,2024,1.14,4.4,0.4406,0.4406,0.5154,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BT,BTN,hydro,2024,2.45,11.0,0.5125,0.5125,0.5571,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BW,BWA,coal,2024,0.73,3.37,0.527,0.3315,0.527,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
BW,BWA,oil,2024,0.07,0.05,0.0815,0.0489,0.1631,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
BW,BWA,solar,2024,0.07,0.01,0.0163,0.0163,0.0163,1,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CA,CAN,bioenergy,2025,2.67,10.45,0.4468,0.4055,0.4511,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CA,CAN,coal,2025,3.38,26.05,0.8798,0.6197,0.8798,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CA,CAN,gas,2025,27.19,116.61,0.4896,0.4142,0.4939,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CA,CAN,hydro,2025,84.13,344.74,0.4678,0.4678,0.5437,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CA,CAN,nuclear,2025,12.67,85.32,0.7687,0.7555,0.8021,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CA,CAN,oil,2025,2.28,7.61,0.381,0.3304,0.403,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CA,CAN,solar,2025,5.93,10.17,0.1958,0.1515,0.1958,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CA,CAN,wind,2025,17.74,51.48,0.3313,0.2865,0.3313,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CH,CHE,bioenergy,2015,0.06,0.52,0.9893,0.9893,0.9893,1,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CH,CHE,gas,2025,0.22,0.27,0.1401,0.1401,0.2482,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CH,CHE,hydro,2025,16.05,33.99,0.2418,0.2132,0.32,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CH,CHE,nuclear,2025,2.97,19.42,0.7464,0.7464,0.9371,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CH,CHE,oil,2025,0.27,1.23,0.52,0.4904,0.52,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CH,CHE,solar,2025,9.11,7.89,0.0989,0.0833,0.0989,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CH,CHE,wind,2025,0.11,0.14,0.1453,0.1453,0.2156,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CL,CHL,bioenergy,2025,0.77,5.03,0.7457,0.7457,0.7457,1,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CL,CHL,coal,2025,3.12,15.72,0.5752,0.4037,0.6024,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CL,CHL,gas,2025,5.0,13.54,0.3091,0.2893,0.3826,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CL,CHL,hydro,2025,7.64,19.68,0.2941,0.2941,0.3979,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CL,CHL,oil,2025,1.99,0.5,0.0287,0.0184,0.1773,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CL,CHL,solar,2025,12.14,22.18,0.2086,0.2086,0.2603,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CL,CHL,wind,2025,5.88,11.58,0.2248,0.2248,0.277,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CN,CHN,bioenergy,2013,4.39,37.13,0.9655,0.5177,0.9912,3,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CN,CHN,coal,2025,1243.29,5772.31,0.53,0.53,0.5728,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CN,CHN,gas,2025,160.51,317.89,0.2261,0.2261,0.312,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CN,CHN,hydro,2025,382.08,1394.79,0.4167,0.3776,0.4186,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CN,CHN,nuclear,2025,62.48,487.06,0.8899,0.8461,0.8899,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CN,CHN,oil,2025,16.57,88.71,0.6111,0.5198,0.6426,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CN,CHN,solar,2025,1202.18,1174.94,0.1116,0.108,0.1241,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CN,CHN,wind,2025,640.63,1135.43,0.2023,0.2023,0.2379,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CI,CIV,gas,2024,1.47,7.65,0.5941,0.5941,0.9661,3,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CI,CIV,hydro,2024,0.99,3.0,0.3459,0.3386,0.4346,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CI,CIV,oil,2024,0.2,0.02,0.0114,0.0114,0.0114,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CM,CMR,gas,2024,0.22,1.6,0.8302,0.825,0.8302,2,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CM,CMR,hydro,2024,1.41,5.23,0.4234,0.4234,0.7371,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CM,CMR,oil,2024,0.15,0.35,0.2664,0.2588,0.6621,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CM,CMR,solar,2024,0.09,0.04,0.0507,0.0254,0.0507,4,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CD,COD,hydro,2024,3.25,13.4,0.4707,0.4707,0.5743,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CG,COG,gas,2024,0.53,4.03,0.868,0.6095,0.868,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CG,COG,hydro,2024,0.21,1.1,0.598,0.5708,0.6632,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CG,COG,oil,2024,0.06,0.29,0.5518,0.3615,0.5518,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CO,COL,bioenergy,2025,0.42,2.35,0.6387,0.6387,0.7306,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CO,COL,coal,2025,1.61,5.53,0.3921,0.3148,0.7948,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CO,COL,gas,2025,4.31,12.43,0.3292,0.3292,0.5242,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CO,COL,hydro,2025,13.22,62.5,0.5397,0.4221,0.5799,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CO,COL,oil,2025,1.41,2.8,0.2267,0.2121,0.2633,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CO,COL,solar,2025,1.73,4.6,0.3035,0.232,0.3035,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CV,CPV,oil,2024,0.16,0.36,0.2568,0.2417,0.2854,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CR,CRI,bioenergy,2025,0.08,0.06,0.0856,0.0856,0.2711,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CR,CRI,hydro,2025,2.34,9.58,0.4674,0.3886,0.4674,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CR,CRI,oil,2024,0.52,0.01,0.0022,0.0022,0.0049,3,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CR,CRI,solar,2025,0.08,0.09,0.1284,0.1284,0.1468,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CR,CRI,wind,2025,0.44,1.55,0.4021,0.3539,0.4595,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CU,CUB,bioenergy,2024,0.44,0.35,0.0908,0.0726,0.1308,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CU,CUB,gas,2024,0.58,2.65,0.5216,0.311,0.5216,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CU,CUB,hydro,2024,0.07,0.12,0.1957,0.1794,0.1957,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CU,CUB,oil,2024,5.32,16.0,0.3433,0.3036,0.3545,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CU,CUB,solar,2024,0.39,0.24,0.0702,0.0702,0.1196,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
KY,CYM,oil,2024,0.21,0.68,0.3696,0.3696,0.4086,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CY,CYP,oil,2025,1.85,4.27,0.2635,0.2616,0.2715,5,yes,ember_yearly_electricity,"implied by the country's own published capacity and generation for that fuel; Ember publishes no oil line: 'Other Fossil' is oil products plus other fossil fuels, and stands in for oil utilisation"
CY,CYP,solar,2025,0.86,1.37,0.1819,0.1631,0.1819,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CY,CYP,wind,2025,0.17,0.21,0.141,0.141,0.1784,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
CZ,CZE,bioenergy,2025,0.83,6.05,0.8321,0.7399,0.8321,5,no,ember_yearly_electricity,implied by the country's own published capacity and generation for that fuel
