country,anchor_id,scope,target_type,base_year,base_value,base_unit,target_year,target_value,reduction,conditional,communicated,source_url,source_id,verified,note
HU,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
IE,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
IT,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
LV,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
LT,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
LU,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
MT,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
NL,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
PL,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
PT,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
RO,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
SK,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
SI,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
ES,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
SE,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,no,2024-02-06,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
TW,tw_2035_national,economy,reduction_from_base,2005,,,2035,,0.38,no,2025-01-23,https://www.cca.gov.tw/en/,tw_cca_ndc_2035,no,Taiwan is not a UNFCCC party; national 2035 target 38% (36-40%) below 2005 announced by the Executive Yuan / Climate Change Administration
GU,gu_us_second_ndc,economy,reduction_from_base,2005,,,2035,,0.61,no,2024-12-19,https://www.climatewatchdata.org/ndcs/country/USA,climatewatch_ndc_content,no,"Guam is a US territory covered by the United States NDC (61-66% below 2005 by 2035, communicated 2024-12-19; withdrawal from the Paris Agreement notified 2025-01-27)"
PR,pr_us_second_ndc,economy,reduction_from_base,2005,,,2035,,0.61,no,2024-12-19,https://www.climatewatchdata.org/ndcs/country/USA,climatewatch_ndc_content,no,"Puerto Rico is a US territory covered by the United States NDC (61-66% below 2005 by 2035, communicated 2024-12-19; withdrawal from the Paris Agreement notified 2025-01-27)"
CN,cn_third_ndc_peak_assumed,economy,reduction_from_base,2024,,,2035,,0.07,no,2025-11-03,https://climateactiontracker.org/countries/china/2035-ndc/,climate_action_tracker,no,"China's 2035 NDC: net GHG 7-10% below peak by 2035 (unconditional lower bound 7%); the peak level is not stated, so the pathway is read from the latest observed year (2024) - China states it has entered the peaking stage. ASSUMPTION flagged; reduction_upper 0.10"
ID,id_second_ndc_lccp_l,economy,absolute_level,2019,1145037,GgCO2e_net_incl_FOLU,2035,1257717,,no,2025-10-24,https://unfccc.int/sites/default/files/2025-10/Indonesia_Second%20NDC_2025.10.24.pdf,unfccc_ndc_registry,no,"Second NDC ICTU 4.1: 2019 reference-year net emission 1,145,037 Gg CO2e (five sectors incl. FOLU); 2035 projection 1,257,717 Gg (LCCP_L) or 1,488,866 Gg (LCCP_H); peak by 2030 at 1,345,707 (LCCP_L). The target level is above the 2019 level, so the grid pathway is floored at the observed trend"
MX,mx_ndc3_2035,economy,reduction_from_base,2023,,,2035,,0.19,no,2025-11-14,https://climateactiontracker.org/countries/mexico/targets/,climate_action_tracker,no,NDC 3.0: unconditional 364-404 MtCO2e incl. LULUCF in 2035 = 506-592 MtCO2e excl. LULUCF = 19-31% below 2023 (CAT reading of the NDC); reduction_upper 0.31; conditional 25-36%
ZA,za_second_ndc_2035,economy,absolute_level,2023,560,MtCO2e_excl_LULUCF,2035,380,,no,2025-10-22,https://unfccc.int/sites/default/files/2025-10/South%20Africa's%20second%20Nationally%20Determined%20Contribution_2025.pdf,unfccc_ndc_registry,no,Second NDC Table 2: annual GHG emissions 320-380 MtCO2-eq in 2035 (upper end used as the least ambitious end of the range); 2023 level 'more than 560 MtCO2eq excl. LULUCF' as reported by Enerdata (https://www.enerdata.net/publications/daily-energy-news/south-africa-aims-reduce-ghg-emissions-320-380-mtco2eq-2035.html); base approximate
MY,my_ndc3_peak_assumed,economy,reduction_from_base,2024,,,2035,,0.15,no,2025-10-29,https://unfccc.int/sites/default/files/2025-10/Malaysia%20NDC%203.0%20to%20UNFCCC%202025%20final.pdf,unfccc_ndc_registry,no,"NDC 3.0: absolute reduction of 15-30 MtCO2eq by 2035 from the peak (unconditional up to 20 MtCO2eq); the peak level is not stated in the NDC - 133 MtCO2eq (WAM, 2030) per The Edge Malaysia analysis (https://theedgemalaysia.com/node/779628) gives 20/133 = 15%; the peak is read from the latest observed year. ASSUMPTION flagged"
CL,cl_ndc_2035,economy,reduction_from_base,2023,,,2035,,0.18,no,2025-09-23,https://climateactiontracker.org/countries/chile/2035-ndc/,climate_action_tracker,no,"2035 NDC: GHG emissions level 90 MtCO2e in 2035 and a 480 MtCO2e budget 2031-2035, excl. LULUCF, = 18% below 2023 (CAT reading of the NDC); the 2030 level of 95 MtCO2e is 13% below 2023"
AR,ar_second_ndc_2030,economy,absolute_level,2018,366,MtCO2e_net,2030,349,,no,2021-11-02,https://www.climatewatchdata.org/countries/ARG,climatewatch_ndc_content,no,Second NDC: economy-wide unconditional cap of net emissions at 349 MtCO2e in 2030; national inventory (INGEI) 2018 net emissions 366 MtCO2e (2020: 376 MtCO2e) as summarised on the Climate Watch country page
SA,sa_second_ndc_dynamic_baseline,economy,bau_reduction,2019,,,2040,,,no,2025-12-28,https://unfccc.int/sites/default/files/2026-01/2nd%20KSA%20NDC%20Document%20Final%20Document%20(28122025)_DNA.pdf,unfccc_ndc_registry,no,"Second NDC: reduce, avoid and remove 335 MtCO2eq annually by 2040 'on the basis of a dynamic baseline' with 2019 as base year - a reduction against a projection, not a level below 2019; no absolute level to read a pathway from"
QA,qa_ndc3_mitigation_actions,economy,bau_reduction,2019,,,2040,,,no,2025-11-10,https://unfccc.int/sites/default/files/2025-11/Qatar%20NDC%203.0.pdf,unfccc_ndc_registry,no,"NDC 3.0: mitigation actions equivalent to 42 MMtCO2e of GHG emission reductions by 2040 (project-level measures, base year 2019 for accounting); a quantity of mitigation, not an emissions level; no pathway can be read"
VN,vn_ndc2022_bau_levels,economy,absolute_level,2014,284.0,MtCO2e_incl_LULUCF,2030,781.3,,no,2022-11-08,https://unfccc.int/sites/default/files/NDC/2022-11/Viet%20Nam_NDC_2022_Eng.pdf,unfccc_ndc_registry,no,"NDC 2022: BAU 2030 = 927.9 MtCO2e; unconditional 15.8% below BAU = 781.3 MtCO2e in 2030; base year 2014 total 284.0 MtCO2e (incl. LULUCF) as stated in the NDC. The committed 2030 level is far above the 2014 level, so the grid pathway is floored at the observed trend; figures to be verified against the PDF"
