company_id,company_name,company_country,company_type,gem_unit_id,gem_location_id,plant_name,country,role,phase,share,share_basis,from_year,to_year,source_url,source_note,accessed_date
kepco,Korea Electric Power Corporation,KR,utility,,L100000405308,Palua Indah power station,MY,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Pulau Indah Combined Cycle Power Plant (1,200 MW) — “Awarded Pulau Indah Combined Cycle Power Plant (1,200 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,,L100000103181,Naga power station (Cebu),PH,developer,development,,none,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Cebu Coal-fired Power Plant (200 MW) — “Awarded Cebu Coal-fired Power Plant (200 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,,L100000405342,Ilijan power station,PH,om_contractor,operation,,contract_share,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Ilijan Power Plant Construction & Operation Project (612 MW) — “1996 Philippines Ilijan Power Plant Construction & Operation Project (612 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own history list names this project as a construction and operation project, so an operation role is stated; no share is given",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,,L100000406784,Egbin power station,NG,equity_owner,investment,,equity_share,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Acquired equity and O&M rights for Egbin Power Plant (1,320 MW) — “2013 Nigeria Acquired equity and O&M rights for Egbin Power Plant (1,320 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own history list states it acquired equity; the page gives no percentage",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,,L100000406784,Egbin power station,NG,om_contractor,operation,,contract_share,,,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Acquired equity and O&M rights for Egbin Power Plant (1,320 MW) — “2013 Nigeria Acquired equity and O&M rights for Egbin Power Plant (1,320 MW)” (https://www.kepco.co.kr/eng/business/overseas/business-overview.do); KEPCO's own history list states it acquired O&M rights",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000110670,,Vung Ang power station Phase 2 Unit 1,VN,equity_owner,investment,0.4,equity_share,2020,,https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam,"companies owning the Vung Ang II coal power plant — “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).” (https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam); share from https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam: “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).”; the tracker's own owner field names only the project company (Vung Ang 2 Thermal Power JSC) and CLP Holdings as parent, so this register row is what brings the Korean and Japanese sponsors onto these units; Mitsubishi later sold 15 % to Shikoku Electric (reported by VIR, not yet on file, so no Shikoku row)",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000110671,,Vung Ang power station Phase 2 Unit 2,VN,equity_owner,investment,0.4,equity_share,2020,,https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam,"companies owning the Vung Ang II coal power plant — “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).” (https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam); share from https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam: “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).”; the tracker's own owner field names only the project company (Vung Ang 2 Thermal Power JSC) and CLP Holdings as parent, so this register row is what brings the Korean and Japanese sponsors onto these units; Mitsubishi later sold 15 % to Shikoku Electric (reported by VIR, not yet on file, so no Shikoku row)",2026-09-07
mitsubishi_corp,Mitsubishi Corporation,JP,trading_house,G100000110670,,Vung Ang power station Phase 2 Unit 1,VN,equity_owner,investment,0.4,equity_share,2020,,https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam,"companies owning the Vung Ang II coal power plant — “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).” (https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam); share from https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam: “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).”; the tracker's own owner field names only the project company (Vung Ang 2 Thermal Power JSC) and CLP Holdings as parent, so this register row is what brings the Korean and Japanese sponsors onto these units; Mitsubishi later sold 15 % to Shikoku Electric (reported by VIR, not yet on file, so no Shikoku row)",2026-09-07
mitsubishi_corp,Mitsubishi Corporation,JP,trading_house,G100000110671,,Vung Ang power station Phase 2 Unit 2,VN,equity_owner,investment,0.4,equity_share,2020,,https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam,"companies owning the Vung Ang II coal power plant — “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).” (https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam); share from https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam: “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).”; the tracker's own owner field names only the project company (Vung Ang 2 Thermal Power JSC) and CLP Holdings as parent, so this register row is what brings the Korean and Japanese sponsors onto these units; Mitsubishi later sold 15 % to Shikoku Electric (reported by VIR, not yet on file, so no Shikoku row)",2026-09-07
chugoku,Chugoku Electric Power,JP,utility,G100000110670,,Vung Ang power station Phase 2 Unit 1,VN,equity_owner,investment,0.2,equity_share,2020,,https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam,"companies owning the Vung Ang II coal power plant — “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).” (https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam); share from https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam: “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).”; the tracker's own owner field names only the project company (Vung Ang 2 Thermal Power JSC) and CLP Holdings as parent, so this register row is what brings the Korean and Japanese sponsors onto these units; Mitsubishi later sold 15 % to Shikoku Electric (reported by VIR, not yet on file, so no Shikoku row)",2026-09-07
chugoku,Chugoku Electric Power,JP,utility,G100000110671,,Vung Ang power station Phase 2 Unit 2,VN,equity_owner,investment,0.2,equity_share,2020,,https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam,"companies owning the Vung Ang II coal power plant — “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).” (https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam); share from https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam: “As of May 2020, the companies owning the Vung Ang II coal power plant are Mitsubishi Corporation (40%), KEPCO (40%) and Chugoku (20%).”; the tracker's own owner field names only the project company (Vung Ang 2 Thermal Power JSC) and CLP Holdings as parent, so this register row is what brings the Korean and Japanese sponsors onto these units; Mitsubishi later sold 15 % to Shikoku Electric (reported by VIR, not yet on file, so no Shikoku row)",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000100538,,Banten Suralaya power station Unit 09 (Jawa 9),ID,equity_owner,investment,0.15,equity_share,2020,,https://www.gem.wiki/Banten_Suralaya_power_station,"purchase of a 15% stake in Jawa-9 and Jawa-10 — “In June 2020 KEPCO's directors approved the US$51 million purchase of a 15% stake in Jawa-9 and Jawa-10. Once completed the ownership of the two plants will be PT PLT 50%, PT Barito Pacific 34%, and KEPCO 15%.” (https://www.gem.wiki/Banten_Suralaya_power_station); share from https://www.gem.wiki/Banten_Suralaya_power_station: “In June 2020 KEPCO's directors approved the US$51 million purchase of a 15% stake in Jawa-9 and Jawa-10. Once completed the ownership of the two plants will be PT PLT 50%, PT Barito Pacific 34%, and KEPCO 15%.”; the tracker's owner field for these units names only PLN and Barito Pacific, so this register row brings KEPCO onto Jawa 9 and 10",2026-09-07
doosan_enerbility,Doosan Enerbility,KR,equipment_supplier,G100000100538,,Banten Suralaya power station Unit 09 (Jawa 9),ID,epc_contractor,construction,,contract_share,,,https://www.gem.wiki/Banten_Suralaya_power_station,"Doosan ... would begin construction of Jawa-9 and Jawa-10 — “In September 2018 it was reported that Doosan Heavy Industries and Construction from South Korea along with Indo Raya Tenaga (IRT) would begin construction of Jawa-9 and Jawa-10 in early 2019.” (https://www.gem.wiki/Banten_Suralaya_power_station); press report as compiled by the GEM wiki, not Doosan's own release: treat as unverified until the contractor's announcement is on file",2026-09-07
kepco,Korea Electric Power Corporation,KR,utility,G100000113472,,Banten Suralaya power station Unit 10 (Jawa 10),ID,equity_owner,investment,0.15,equity_share,2020,,https://www.gem.wiki/Banten_Suralaya_power_station,"purchase of a 15% stake in Jawa-9 and Jawa-10 — “In June 2020 KEPCO's directors approved the US$51 million purchase of a 15% stake in Jawa-9 and Jawa-10. Once completed the ownership of the two plants will be PT PLT 50%, PT Barito Pacific 34%, and KEPCO 15%.” (https://www.gem.wiki/Banten_Suralaya_power_station); share from https://www.gem.wiki/Banten_Suralaya_power_station: “In June 2020 KEPCO's directors approved the US$51 million purchase of a 15% stake in Jawa-9 and Jawa-10. Once completed the ownership of the two plants will be PT PLT 50%, PT Barito Pacific 34%, and KEPCO 15%.”; the tracker's owner field for these units names only PLN and Barito Pacific, so this register row brings KEPCO onto Jawa 9 and 10",2026-09-07
doosan_enerbility,Doosan Enerbility,KR,equipment_supplier,G100000113472,,Banten Suralaya power station Unit 10 (Jawa 10),ID,epc_contractor,construction,,contract_share,,,https://www.gem.wiki/Banten_Suralaya_power_station,"Doosan ... would begin construction of Jawa-9 and Jawa-10 — “In September 2018 it was reported that Doosan Heavy Industries and Construction from South Korea along with Indo Raya Tenaga (IRT) would begin construction of Jawa-9 and Jawa-10 in early 2019.” (https://www.gem.wiki/Banten_Suralaya_power_station); press report as compiled by the GEM wiki, not Doosan's own release: treat as unverified until the contractor's announcement is on file",2026-09-07
doosan_enerbility,Doosan Enerbility,KR,equipment_supplier,,L100000104315,Song Hau Thermal Power Plant,VN,epc_contractor,construction,1.0,contract_share,2015,,https://www.doosanenerbility.com/en/about/news_board_view?id=12861&page=9&pageSize=9,"main EPC contractor — “As the main EPC contractor, Doosan will supply the main equipment of the plant including boilers and turbines, including the balance of plant components.” (https://www.doosanenerbility.com/en/about/news_board_view?id=12861&page=9&pageSize=9); share from https://www.doosanenerbility.com/en/about/news_board_view?id=12861&page=9&pageSize=9: “As the main EPC contractor, Doosan will supply the main equipment of the plant including boilers and turbines, including the balance of plant components.”; Doosan's own release: sole main EPC contractor, so the contract share is 1",2026-09-07
