company,destination,cohort_year,source_id,source_file,basis,basis_side,units,in_scope,boundary_companies,used_by_cohort,spread_vs_used_pct
hyundai,HU,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,4753,yes,,yes,
hyundai,ID,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,15151,yes,,no,
hyundai,IE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,11222,yes,,yes,
hyundai,IN,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,571878,yes,,no,
hyundai,IT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,49430,yes,,yes,
hyundai,KR,2024,hyundai_ir_sales_results,sales_hyundai_kr.csv,domestic_sales,market,556292,yes,,yes,
hyundai,KR,2025,hyundai_ir_sales_results,sales_hyundai_kr.csv,domestic_sales,market,578094,yes,,yes,
hyundai,KR,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,16492,yes,,no,
hyundai,LT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,743,yes,,yes,
hyundai,LU,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,1357,yes,,yes,
hyundai,LV,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,668,yes,,yes,
hyundai,MT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,750,yes,,yes,
hyundai,NL,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,20579,yes,,yes,
hyundai,PL,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,30949,yes,,yes,
hyundai,PT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,7190,yes,,yes,
hyundai,RO,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,10262,yes,,yes,
hyundai,SE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,2059,yes,,yes,
hyundai,SG,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,234,yes,,no,
hyundai,SI,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,2771,yes,,yes,
hyundai,SK,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,8174,yes,,yes,
hyundai,TR,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,41287,yes,,no,
hyundai,US,2024,company_us_totals_cross_check,company_us_totals_cross_check.csv,brand_total_sales,market,836802,yes,hyundai,no,0.0
hyundai,US,2024,hyundai_ir_sales_results,sales_hyundai_us.csv,brand_total_sales,market,836802,yes,hyundai,yes,
hyundai,US,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,406130,yes,,no,
hyundai,US,2025,hyundai_ir_sales_results,sales_hyundai_us.csv,brand_total_sales,market,901686,yes,,yes,
hyundai,VN,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,44590,yes,,no,
infiniti,US,2024,nissan_us_sales_release,sales_nissan_us.csv,brand_total_sales,market,58070,no,,yes,
infiniti,US,2025,nissan_us_sales_release,sales_nissan_us.csv,brand_total_sales,market,52846,no,,yes,
kia,AT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,7030,yes,,yes,
kia,BE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,17605,yes,,yes,
kia,BG,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,2706,yes,,yes,
kia,CA,2026,kia_ir_retail_sales,sales_kia_ir_2026.csv,retail_sales,market,48336,yes,,no,
kia,CN,2026,kia_ir_retail_sales,sales_kia_ir_2026.csv,retail_sales,market,36000,yes,,no,
kia,CY,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,2840,yes,,yes,
kia,CZ,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,10711,yes,,yes,
kia,DE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,68581,yes,,yes,
kia,DK,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,4614,yes,,yes,
kia,EE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,1682,yes,,yes,
kia,ES,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,59901,yes,,yes,
kia,FI,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,5314,yes,,yes,
kia,FR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,47140,yes,,yes,
kia,GR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,4764,yes,,yes,
kia,HR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,3280,yes,,yes,
kia,HU,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,6478,yes,,yes,
kia,IE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,8983,yes,,yes,
kia,IN,2026,kia_ir_retail_sales,sales_kia_ir_2026.csv,retail_sales,market,156523,yes,,no,
kia,IT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,47627,yes,,yes,
kia,KR,2026,kia_ir_retail_sales,sales_kia_ir_2026.csv,retail_sales,market,296479,yes,,yes,
kia,LT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,2241,yes,,yes,
kia,LU,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,1540,yes,,yes,
kia,LV,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,801,yes,,yes,
kia,MT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,515,yes,,yes,
kia,MX,2026,kia_ir_retail_sales,sales_kia_ir_2026.csv,retail_sales,market,54852,yes,,no,
kia,NL,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,34774,yes,,yes,
kia,PL,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,33133,yes,,yes,
kia,PT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,7499,yes,,yes,
kia,RO,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,4368,yes,,yes,
kia,SE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,19565,yes,,yes,
kia,SI,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,2289,yes,,yes,
kia,SK,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,8696,yes,,yes,
kia,US,2024,company_us_totals_cross_check,company_us_totals_cross_check.csv,brand_total_sales,market,796488,yes,kia,no,0.0
kia,US,2024,kia_america_sales_by_month,sales_kia_us.csv,brand_total_sales,market,796488,yes,kia,yes,
kia,US,2025,kia_america_sales_by_month,sales_kia_us.csv,brand_total_sales,market,852155,yes,,yes,
kia,US,2026,kia_ir_retail_sales,sales_kia_ir_2026.csv,retail_sales,market,430727,yes,,yes,
lexus,US,2024,tmna_us_sales_release,sales_toyota_us.csv,brand_total_sales,market,345669,no,,yes,
lexus,US,2025,tmna_us_sales_release,sales_toyota_us.csv,brand_total_sales,market,370260,no,,yes,
nissan,AT,2024,,sales_eea_eu27_2024.csv,registrations,market,2799,yes,,yes,
nissan,BE,2024,,sales_eea_eu27_2024.csv,registrations,market,8628,yes,,yes,
nissan,BG,2024,,sales_eea_eu27_2024.csv,registrations,market,1205,yes,,yes,
nissan,CY,2024,,sales_eea_eu27_2024.csv,registrations,market,1460,yes,,yes,
nissan,CZ,2024,,sales_eea_eu27_2024.csv,registrations,market,1287,yes,,yes,
nissan,DE,2024,,sales_eea_eu27_2024.csv,registrations,market,29203,yes,,yes,
nissan,DK,2024,,sales_eea_eu27_2024.csv,registrations,market,5721,yes,,yes,
nissan,EE,2024,,sales_eea_eu27_2024.csv,registrations,market,525,yes,,yes,
nissan,ES,2024,,sales_eea_eu27_2024.csv,registrations,market,32631,yes,,yes,
nissan,FI,2024,,sales_eea_eu27_2024.csv,registrations,market,2955,yes,,yes,
nissan,FR,2024,,sales_eea_eu27_2024.csv,registrations,market,29572,yes,,yes,
nissan,GR,2024,,sales_eea_eu27_2024.csv,registrations,market,4296,yes,,yes,
nissan,HR,2024,,sales_eea_eu27_2024.csv,registrations,market,847,yes,,yes,
nissan,HU,2024,,sales_eea_eu27_2024.csv,registrations,market,5589,yes,,yes,
nissan,IE,2024,,sales_eea_eu27_2024.csv,registrations,market,4809,yes,,yes,
nissan,IT,2024,,sales_eea_eu27_2024.csv,registrations,market,34933,yes,,yes,
nissan,JP,2024,jada_registration_statistics,sales_jada_jp.csv,registrations,market,228787,yes,,no,
nissan,JP,2025,jada_registration_statistics,sales_jada_jp.csv,registrations,market,179123,yes,,no,
nissan,LT,2024,,sales_eea_eu27_2024.csv,registrations,market,1051,yes,,yes,
nissan,LU,2024,,sales_eea_eu27_2024.csv,registrations,market,439,yes,,yes,
nissan,LV,2024,,sales_eea_eu27_2024.csv,registrations,market,687,yes,,yes,
nissan,MT,2024,,sales_eea_eu27_2024.csv,registrations,market,230,yes,,yes,
nissan,NL,2024,,sales_eea_eu27_2024.csv,registrations,market,5470,yes,,yes,
nissan,PL,2024,,sales_eea_eu27_2024.csv,registrations,market,8763,yes,,yes,
nissan,PT,2024,,sales_eea_eu27_2024.csv,registrations,market,7532,yes,,yes,
nissan,RO,2024,,sales_eea_eu27_2024.csv,registrations,market,1205,yes,,yes,
nissan,SE,2024,,sales_eea_eu27_2024.csv,registrations,market,3506,yes,,yes,
nissan,SI,2024,,sales_eea_eu27_2024.csv,registrations,market,969,yes,,yes,
nissan,SK,2024,,sales_eea_eu27_2024.csv,registrations,market,1736,yes,,yes,
nissan,US,2024,nissan_us_sales_release,sales_nissan_us.csv,brand_total_sales,market,865938,yes,,yes,
nissan,US,2025,company_us_totals_cross_check,company_us_totals_cross_check.csv,brand_total_sales,market,926153,yes,nissan;infiniti,no,0.0
nissan,US,2025,nissan_us_sales_release,sales_nissan_us.csv,brand_total_sales,market,873307,yes,nissan;infiniti,yes,
toyota,AT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,11120,yes,,yes,
toyota,BE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,23650,yes,,yes,
toyota,BG,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,5253,yes,,yes,
toyota,CY,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,14,yes,,yes,
toyota,CZ,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,18911,yes,,yes,
toyota,DE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,95267,yes,,yes,
toyota,DK,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,13187,yes,,yes,
toyota,EE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,4448,yes,,yes,
toyota,ES,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,100873,yes,,yes,
toyota,FI,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,12449,yes,,yes,
toyota,FR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,134994,yes,,yes,
toyota,GR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,23480,yes,,yes,
toyota,HR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,4224,yes,,yes,
toyota,HU,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,14275,yes,,yes,
toyota,IE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,17079,yes,,yes,
toyota,IT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,122925,yes,,yes,
toyota,JP,2024,jada_registration_statistics,sales_jada_jp.csv,registrations,market,1197210,yes,,no,
toyota,JP,2025,jada_registration_statistics,sales_jada_jp.csv,registrations,market,1212140,yes,,no,
toyota,LT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,6119,yes,,yes,
toyota,LU,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,1210,yes,,yes,
toyota,LV,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,2838,yes,,yes,
toyota,MT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,1054,yes,,yes,
toyota,NL,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,29853,yes,,yes,
toyota,PL,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,103174,yes,,yes,
toyota,PT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,11149,yes,,yes,
toyota,RO,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,12799,yes,,yes,
toyota,SE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,20143,yes,,yes,
toyota,SI,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,3394,yes,,yes,
toyota,SK,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,9212,yes,,yes,
toyota,US,2024,tmna_us_sales_release,sales_toyota_us.csv,brand_total_sales,market,1986954,yes,,yes,
toyota,US,2025,company_us_totals_cross_check,company_us_totals_cross_check.csv,brand_total_sales,market,2518071,yes,toyota;lexus,no,0.0
toyota,US,2025,tmna_us_sales_release,sales_toyota_us.csv,brand_total_sales,market,2147811,yes,toyota;lexus,yes,
