company,destination,model,powertrain,scenario,units,ti_per_vehicle_kgco2e,crossover_year,crossover_calendar_year,reason
honda,DE,ZR-V,HEV,S1,855,-6089.0086,,,crossover before sale year (product already above benchmark at t=0)
honda,DK,CIVIC E:HEV,HEV,S1,35,-2404.2352,3.977,2028.0,within lifetime
honda,DK,CIVIC E:HEV,ICE,S1,1,-1663.027,4.766,2028.8,within lifetime
honda,DK,E:NY1,BEV,S1,510,19262.2641,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,DK,HR-V E:HEV,HEV,S1,161,-5120.5275,1.283,2025.3,within lifetime
honda,DK,HR-V E:HEV,ICE,S1,1,-4679.1599,1.702,2025.7,within lifetime
honda,DK,JAZZ E:HEV,HEV,S1,51,-1701.548,4.724,2028.7,within lifetime
honda,EE,CIVIC,HEV,S1,39,2728.3582,13.539,2037.5,within lifetime
honda,EE,CIVIC TYPE R,ICE,S1,8,-11760.8212,,,crossover before sale year (product already above benchmark at t=0)
honda,EE,CR-V,HEV,S1,217,-4214.3751,5.812,2029.8,within lifetime
honda,EE,E:NY1,BEV,S1,3,19681.1623,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,EE,HR-V,HEV,S1,87,776.2025,11.154,2035.2,within lifetime
honda,EE,JAZZ,HEV,S1,37,4062.9239,15.289,2039.3,within lifetime
honda,EE,ZR-V,HEV,S1,119,-1134.491,8.993,2033.0,within lifetime
honda,ES,CIVIC,HEV,S1,922,-979.4246,8.312,2032.3,within lifetime
honda,ES,CIVIC TYPE R,ICE,S1,46,-23541.3367,,,crossover before sale year (product already above benchmark at t=0)
honda,ES,CR-V,HEV,S1,429,-9181.8081,,,crossover before sale year (product already above benchmark at t=0)
honda,ES,E:NY1,BEV,S1,35,29654.6503,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,ES,HONDA E,BEV,S1,15,29755.5061,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,ES,HR-V,HEV,S1,1188,-4482.2719,4.073,2028.1,within lifetime
honda,ES,JAZZ,HEV,S1,474,671.7306,10.464,2034.5,within lifetime
honda,ES,ZR-V,HEV,S1,644,-7386.1768,0.85,2024.9,within lifetime
honda,FI,CIVIC,HEV,S1,22,-20843.5698,,,crossover before sale year (product already above benchmark at t=0)
honda,FI,CIVIC TYPE R,ICE,S1,1,-41782.1623,,,crossover before sale year (product already above benchmark at t=0)
honda,FI,CR-V,HEV,S1,57,-31087.0933,,,crossover before sale year (product already above benchmark at t=0)
honda,FI,E:NY1,BEV,S1,2,11809.7708,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,FI,HR-V,HEV,S1,21,-23573.9568,,,crossover before sale year (product already above benchmark at t=0)
honda,FI,JAZZ,HEV,S1,33,-18674.6868,0.062,2024.1,within lifetime
honda,FI,ZR-V,HEV,S1,30,-26363.1867,,,crossover before sale year (product already above benchmark at t=0)
honda,FR,CIVIC,HEV,S1,1190,-2434.7465,3.064,2027.1,within lifetime
honda,FR,CIVIC TYPE R,ICE,S1,5,-19431.8808,,,crossover before sale year (product already above benchmark at t=0)
honda,FR,CR-V,HEV,S1,149,-9269.0836,,,crossover before sale year (product already above benchmark at t=0)
honda,FR,E:NY1,BEV,S1,437,23005.9367,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,FR,HR-V,HEV,S1,1265,-4826.8001,,,crossover before sale year (product already above benchmark at t=0)
honda,FR,JAZZ,HEV,S1,814,-919.7348,5.929,2029.9,within lifetime
honda,FR,ZR-V,HEV,S1,760,-7114.0607,,,crossover before sale year (product already above benchmark at t=0)
honda,GR,CIVIC,HEV,S1,42,-11120.6093,,,crossover before sale year (product already above benchmark at t=0)
honda,GR,CIVIC TYPE R,HEV,S1,1,-11665.1119,,,crossover before sale year (product already above benchmark at t=0)
honda,GR,CIVIC TYPE R,ICE,S1,9,-30046.917,,,crossover before sale year (product already above benchmark at t=0)
honda,GR,CR-V,HEV,S1,44,-21373.2633,,,crossover before sale year (product already above benchmark at t=0)
honda,GR,E:NY1,BEV,S1,29,10843.4981,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,GR,HR-V,HEV,S1,136,-14030.9149,,,crossover before sale year (product already above benchmark at t=0)
honda,GR,JAZZ,HEV,S1,114,-9469.9359,,,crossover before sale year (product already above benchmark at t=0)
honda,GR,ZR-V,HEV,S1,57,-16378.2646,,,crossover before sale year (product already above benchmark at t=0)
honda,HR,CIVIC,HEV,S1,30,16367.5892,72.505,2096.5,after lifetime
honda,HR,CIVIC TYPE R,ICE,S1,5,-5569.9346,,,crossover before sale year (product already above benchmark at t=0)
honda,HR,CR-V,HEV,S1,49,5590.4502,28.362,2052.4,after lifetime
honda,HR,HONDA E,BEV,S1,1,45986.2906,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,HR,HR-V,HEV,S1,27,13453.4811,59.359,2083.4,after lifetime
honda,HR,JAZZ,HEV,S1,10,18511.5583,82.892,2106.9,after lifetime
honda,HR,ZR-V,HEV,S1,34,10514.8631,47.084,2071.1,after lifetime
honda,HU,CIVIC,HEV,S1,140,2099.6261,22.862,2046.9,within lifetime
honda,HU,CIVIC TYPE R,ICE,S1,5,-22105.5868,,,crossover before sale year (product already above benchmark at t=0)
honda,HU,CR-V,HEV,S1,119,-9941.8729,,,crossover before sale year (product already above benchmark at t=0)
honda,HU,E:NY1,BEV,S1,96,33963.7586,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,HU,HONDA E,BEV,S1,3,34081.8595,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,HU,HR-V,HEV,S1,179,-1640.6952,1.988,2026.0,within lifetime
honda,HU,JAZZ,HEV,S1,60,3834.2402,33.265,2057.3,after lifetime
honda,HU,ZR-V,HEV,S1,104,-4708.8759,,,crossover before sale year (product already above benchmark at t=0)
honda,IE,CIVIC,HEV,S1,61,-6503.3316,2.237,2026.2,within lifetime
honda,IE,CIVIC TYPE R,ICE,S1,3,-28889.4683,,,crossover before sale year (product already above benchmark at t=0)
honda,IE,CR-V,HEV,S1,10,-18357.6159,,,crossover before sale year (product already above benchmark at t=0)
honda,IE,E:NY1,BEV,S1,5,21793.8427,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,IE,HONDA E,BEV,S1,1,22273.3573,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,IE,HR-V,HEV,S1,18,-9101.5309,0.195,2024.2,within lifetime
honda,IE,JAZZ,HEV,S1,83,-3365.129,4.905,2028.9,within lifetime
honda,IE,ZR-V,HEV,S1,23,-12109.2389,,,crossover before sale year (product already above benchmark at t=0)
honda,IT,CIVIC,HEV,S1,440,-4672.7616,,,crossover before sale year (product already above benchmark at t=0)
honda,IT,CIVIC TYPE R,ICE,S1,52,-23597.444,,,crossover before sale year (product already above benchmark at t=0)
honda,IT,CR-V,HEV,S1,841,-13923.9712,,,crossover before sale year (product already above benchmark at t=0)
honda,IT,HR-V,HEV,S1,3188,-7586.4057,,,crossover before sale year (product already above benchmark at t=0)
honda,IT,JAZZ,HEV,S1,1262,-3240.557,1.379,2025.4,within lifetime
honda,IT,ZR-V,HEV,S1,1588,-10050.3632,,,crossover before sale year (product already above benchmark at t=0)
honda,LT,CIVIC,HEV,S1,10,-11828.426,,,crossover before sale year (product already above benchmark at t=0)
honda,LT,CIVIC TYPE-R,ICE,S1,5,-35535.5169,,,crossover before sale year (product already above benchmark at t=0)
honda,LT,CR-V,HEV,S1,55,-23525.4933,,,crossover before sale year (product already above benchmark at t=0)
honda,LT,HR-V,HEV,S1,38,-14790.614,,,crossover before sale year (product already above benchmark at t=0)
honda,LT,JAZZ,HEV,S1,19,-9522.1074,0.963,2025.0,within lifetime
honda,LT,ZR-V,HEV,S1,24,-17954.2647,,,crossover before sale year (product already above benchmark at t=0)
honda,LU,CIVIC,HEV,S1,38,24780.6778,23.553,2047.6,after lifetime
honda,LU,CIVIC TYPE R,ICE,S1,17,12553.8122,12.702,2036.7,after lifetime
honda,LU,CR-V,HEV,S1,39,18562.4538,17.392,2041.4,after lifetime
honda,LU,E:NY1,BEV,S1,19,42237.8405,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,LU,HR-V,HEV,S1,28,23231.1469,21.854,2045.9,after lifetime
honda,LU,JAZZ,HEV,S1,21,25968.2934,24.949,2048.9,after lifetime
honda,LU,ZR-V,HEV,S1,31,21569.1441,20.162,2044.2,after lifetime
honda,LV,CIVIC,HEV,S1,5,-6814.4648,4.346,2028.3,within lifetime
honda,LV,CIVIC TYPE R,ICE,S1,2,-30922.6829,,,crossover before sale year (product already above benchmark at t=0)
honda,LV,CR-V,HEV,S1,63,-18682.8197,,,crossover before sale year (product already above benchmark at t=0)
honda,LV,E:NY1,BEV,S1,1,27898.1082,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,LV,HRV,HEV,S1,25,-10036.7481,1.896,2025.9,within lifetime
honda,LV,JAZZ,HEV,S1,5,-4689.129,6.078,2030.1,within lifetime
honda,LV,ZR-V,HEV,S1,25,-13409.8616,,,crossover before sale year (product already above benchmark at t=0)
honda,MT,CIVIC,HEV,S1,3,7040.0445,187.833,2211.8,after lifetime
honda,MT,CR-V,HEV,S1,1,-156.9109,7.036,2031.0,within lifetime
honda,MT,E NY1,BEV,S1,11,16957.1336,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,MT,HR-V,HEV,S1,1,5335.5025,140.039,2164.0,after lifetime
honda,MT,JAZZ,HEV,S1,9,8407.8827,229.024,2253.0,after lifetime
honda,MT,ZR-V,HEV,S1,4,3488.9152,92.088,2116.1,after lifetime
honda,NL,CIVIC,HEV,S1,202,-10109.0413,,,crossover before sale year (product already above benchmark at t=0)
honda,NL,CIVIC TYPE R,ICE,S1,1,-28015.3202,,,crossover before sale year (product already above benchmark at t=0)
honda,NL,CR-V,HEV,S1,60,-17293.154,,,crossover before sale year (product already above benchmark at t=0)
honda,NL,E:NY1,BEV,S1,118,13403.3611,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,NL,HR-V,HEV,S1,311,-12446.704,,,crossover before sale year (product already above benchmark at t=0)
honda,NL,JAZZ,HEV,S1,218,-8222.3531,,,crossover before sale year (product already above benchmark at t=0)
honda,NL,ZR-V,HEV,S1,56,-14910.6979,,,crossover before sale year (product already above benchmark at t=0)
honda,PL,CIVIC,HEV,S1,423,1541.2874,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,PL,CIVIC TYPE R,ICE,S1,51,-23192.6897,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,PL,CR-V,HEV,S1,997,-11038.6158,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,PL,HR-V,HEV,S1,1604,-1777.1806,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,PL,JAZZ,HEV,S1,199,3129.67,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,PL,ZR-V,HEV,S1,608,-5091.8283,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,PT,CIVIC,HEV,S1,11,-6324.5402,,,crossover before sale year (product already above benchmark at t=0)
honda,PT,CIVIC TYPE R,ICE,S1,18,-27658.4712,,,crossover before sale year (product already above benchmark at t=0)
honda,PT,CR-V,HEV,S1,19,-12653.2734,,,crossover before sale year (product already above benchmark at t=0)
honda,PT,E:NY1,BEV,S1,34,26638.0091,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,PT,HR-V,HEV,S1,410,-8973.1355,,,crossover before sale year (product already above benchmark at t=0)
honda,PT,JAZZ,HEV,S1,133,-3692.7509,3.708,2027.7,within lifetime
honda,PT,ZR-V,HEV,S1,41,-11808.0377,,,crossover before sale year (product already above benchmark at t=0)
honda,RO,CIVIC,HEV,S1,283,-9329.6121,,,crossover before sale year (product already above benchmark at t=0)
honda,RO,CIVIC TYPE R,ICE,S1,19,-34808.3092,,,crossover before sale year (product already above benchmark at t=0)
honda,RO,CR-V,HEV,S1,360,-20453.9243,,,crossover before sale year (product already above benchmark at t=0)
honda,RO,E:NY1,BEV,S1,3,23598.2577,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,RO,HR-V,HEV,S1,234,-12563.8619,,,crossover before sale year (product already above benchmark at t=0)
honda,RO,JAZZ,HEV,S1,28,-6383.3476,,,crossover before sale year (product already above benchmark at t=0)
honda,RO,ZR-V,HEV,S1,142,-15967.953,,,crossover before sale year (product already above benchmark at t=0)
honda,SE,CIVIC,HEV,S1,116,-4846.6494,2.263,2026.3,within lifetime
honda,SE,CIVIC TYPE R,ICE,S1,12,-23361.6371,,,crossover before sale year (product already above benchmark at t=0)
honda,SE,CR-V,HEV,S1,113,-12526.1656,,,crossover before sale year (product already above benchmark at t=0)
honda,SE,E:NY1,BEV,S1,326,22608.5985,141.523,2165.5,after lifetime
honda,SE,HR-V,HEV,S1,207,-7608.287,,,crossover before sale year (product already above benchmark at t=0)
honda,SE,JAZZ,HEV,S1,120,-3279.8647,3.729,2027.7,within lifetime
honda,SE,ZR-V,HEV,S1,58,-9970.3356,,,crossover before sale year (product already above benchmark at t=0)
honda,SI,CIVIC / 5 VRAT / 2.0 / HEV,HEV,S1,54,12234.7477,33.217,2057.2,after lifetime
honda,SI,CIVIC / 5 VRAT / 2.0 / TYPE R,ICE,S1,1,-9945.1962,,,crossover before sale year (product already above benchmark at t=0)
honda,SI,CR-V / 2.0 / 4WD / E-CVT / HIBRID,HEV,S1,1,-3682.3899,2.101,2026.1,within lifetime
honda,SI,CR-V / 2.0 / FHEV / AVT / 2WD,HEV,S1,17,5431.4167,18.483,2042.5,after lifetime
honda,SI,CR-V / 2.0 / FHEV / AVT / 4WD,HEV,S1,42,88.8404,8.496,2032.5,within lifetime
honda,SI,HR-V / 1.5 / E-CVT / FHEV,HEV,S1,39,9202.6471,26.328,2050.3,after lifetime
honda,SI,HR-V / 1.5 / E-CVT FHEV,HEV,S1,2,9202.6471,26.328,2050.3,after lifetime
honda,SI,JAZZ / 1.5 / HIBRID,HEV,S1,5,14985.2002,39.998,2064.0,after lifetime
honda,SI,JAZZ / 1.5 / HIBRID / CROSS,HEV,S1,8,13602.4158,36.52,2060.5,after lifetime
honda,SI,JAZZ / 1.5 / HIBRID CROSS,HEV,S1,4,13602.4158,36.52,2060.5,after lifetime
honda,SI,ZR-V / 2.0 / EHEV / AVT /,HEV,S1,71,6343.2374,20.313,2044.3,after lifetime
honda,SK,CIVIC,HEV,S1,44,-2310.2265,3.658,2027.7,within lifetime
honda,SK,CIVIC TYPE R,ICE,S1,6,-21211.7985,,,crossover before sale year (product already above benchmark at t=0)
honda,SK,CR-V,HEV,S1,232,-12556.0723,,,crossover before sale year (product already above benchmark at t=0)
honda,SK,HR-V,HEV,S1,188,-5195.7964,,,crossover before sale year (product already above benchmark at t=0)
honda,SK,HR-V.,HEV,S1,1,-5195.7964,,,crossover before sale year (product already above benchmark at t=0)
honda,SK,JAZZ,HEV,S1,31,-913.6142,6.394,2030.4,within lifetime
honda,SK,ZR-V,HEV,S1,137,-7624.924,,,crossover before sale year (product already above benchmark at t=0)
honda,AT,CIVIC E:HEV 2.0 ADVA,HEV,S2,34,1224.774,7.663,2031.7,within lifetime
honda,AT,CIVIC E:HEV 2.0 ELEG,HEV,S2,57,2568.8349,8.906,2032.9,within lifetime
honda,AT,CIVIC E:HEV 2.0 SPOR,HEV,S2,28,1481.1132,7.895,2031.9,within lifetime
honda,AT,CIVIC TYPE R 2.0 TYP,ICE,S2,12,-13883.0969,,,crossover before sale year (product already above benchmark at t=0)
honda,AT,CR-V E:HEV 2WD 2.0 E,HEV,S2,21,-3163.3962,4.024,2028.0,within lifetime
honda,AT,CR-V E:HEV 4WD 2.0 A,HEV,S2,82,-6843.2056,1.37,2025.4,within lifetime
honda,AT,CR-V E:HEV 4WD 2.0 E,HEV,S2,45,-6835.1881,1.375,2025.4,within lifetime
honda,AT,E:NY1 EV ADVANCE,BEV,S2,109,22835.5063,52.553,2076.6,after lifetime
honda,AT,E:NY1 EV ELEGANCE,BEV,S2,18,22835.5063,52.553,2076.6,after lifetime
honda,AT,HONDA E EV ADVANCE,BEV,S2,1,22910.3796,53.053,2077.1,after lifetime
honda,AT,HR-V E:HEV 1.5 ADVAN,HEV,S2,227,-482.569,6.177,2030.2,within lifetime
honda,AT,HR-V E:HEV 1.5 ELEGA,HEV,S2,109,-482.569,6.177,2030.2,within lifetime
honda,AT,JAZZ 1.5 ADVANCE,HEV,S2,46,3460.4359,9.771,2033.8,within lifetime
honda,AT,JAZZ 1.5 ADVANCE SPO,HEV,S2,22,3022.3243,9.342,2033.3,within lifetime
honda,AT,JAZZ 1.5 ELEGANCE,HEV,S2,41,3893.2026,10.203,2034.2,within lifetime
honda,AT,JAZZ CROSSTAR 1.5 AD,HEV,S2,63,2570.3026,8.908,2032.9,within lifetime
honda,AT,UNASSIGNED,BEV,S2,4,22835.5063,52.553,2076.6,after lifetime
honda,AT,ZR-V 2.0 ADVANCE,HEV,S2,49,-2708.8992,4.375,2028.4,within lifetime
honda,AT,ZR-V 2.0 ELEGANCE,HEV,S2,17,-2260.7766,4.726,2028.7,within lifetime
honda,AT,ZR-V 2.0 SPORT,HEV,S2,84,-2469.7121,4.562,2028.6,within lifetime
honda,BE,CIVIC,HEV,S2,283,-6548.6672,0.091,2024.1,within lifetime
honda,BE,CIVIC TYPE R,ICE,S2,38,-23769.1953,,,crossover before sale year (product already above benchmark at t=0)
honda,BE,CR-V,HEV,S2,249,-13840.0894,,,crossover before sale year (product already above benchmark at t=0)
honda,BE,E:NY1,BEV,S2,139,16553.0737,40.146,2064.1,after lifetime
honda,BE,HR-V,HEV,S2,513,-8751.0128,,,crossover before sale year (product already above benchmark at t=0)
honda,BE,JAZZ,HEV,S2,220,-4717.7473,1.625,2025.6,within lifetime
honda,BE,ZR-V,HEV,S2,233,-11130.503,,,crossover before sale year (product already above benchmark at t=0)
honda,BG,CIVIC,HEV,S2,28,-4253.3916,4.416,2028.4,within lifetime
honda,BG,CIVIC TYPE R,ICE,S2,4,-22710.2977,,,crossover before sale year (product already above benchmark at t=0)
honda,BG,HONDA CR V,HEV,S2,8,-9848.6996,0.522,2024.5,within lifetime
honda,BG,HONDA CRV,HEV,S2,60,-14172.8617,,,crossover before sale year (product already above benchmark at t=0)
honda,BG,HONDA HRV,HEV,S2,20,-6694.2957,2.634,2026.6,within lifetime
honda,BG,HONDA ZRV,HEV,S2,38,-9150.0254,0.973,2025.0,within lifetime
honda,BG,JAZZ,HEV,S2,12,-3014.1577,5.378,2029.4,within lifetime
honda,CY,CIVIC,HEV,S2,15,-7683.486,3.828,2027.8,within lifetime
honda,CY,CIVIC TYPE R,ICE,S2,1,-27534.1987,,,crossover before sale year (product already above benchmark at t=0)
honda,CY,CR-V,HEV,S2,26,-16728.1304,,,crossover before sale year (product already above benchmark at t=0)
honda,CY,E:NY1,BEV,S2,5,5003.0983,13.527,2037.5,within lifetime
honda,CY,HR-V,HEV,S2,81,-8848.863,3.116,2027.1,within lifetime
honda,CY,JAZZ,HEV,S2,5,-3819.3411,6.366,2030.4,within lifetime
honda,CY,ZR-V,HEV,S2,8,-11647.3012,1.492,2025.5,within lifetime
honda,CZ,CIVIC,HEV,S2,123,-1708.6957,5.287,2029.3,within lifetime
honda,CZ,CIVIC TYPE R,ICE,S2,30,-16411.7947,,,crossover before sale year (product already above benchmark at t=0)
honda,CZ,CR-V,HEV,S2,604,-9610.6223,,,crossover before sale year (product already above benchmark at t=0)
honda,CZ,HR-V,HEV,S2,300,-3876.4869,3.253,2027.3,within lifetime
honda,CZ,JAZZ,HEV,S2,44,-734.2945,6.264,2030.3,within lifetime
honda,CZ,ZR-V,HEV,S2,226,-5776.3851,1.61,2025.6,within lifetime
honda,DE,,HEV,S2,3,-5981.1011,0.765,2024.8,within lifetime
honda,DE,CIVIC,HEV,S2,823,-4068.5205,2.468,2026.5,within lifetime
honda,DE,CIVIC,ICE,S2,1,-20821.6867,,,crossover before sale year (product already above benchmark at t=0)
honda,DE,CIVIC TYPE R,ICE,S2,123,-19793.267,,,crossover before sale year (product already above benchmark at t=0)
honda,DE,E:NY1,BEV,S2,796,9209.5129,20.228,2044.2,after lifetime
honda,DE,HONDA CR-V,HEV,S2,1349,-11788.9274,,,crossover before sale year (product already above benchmark at t=0)
honda,DE,HONDA E,BEV,S2,4,9452.5516,20.728,2044.7,after lifetime
honda,DE,HR-V,HEV,S2,1661,-6418.5824,0.393,2024.4,within lifetime
honda,DE,JAZZ,HEV,S2,1173,-2766.9481,3.706,2027.7,within lifetime
honda,DE,ZR-V,HEV,S2,855,-8501.3432,,,crossover before sale year (product already above benchmark at t=0)
honda,DK,CIVIC E:HEV,HEV,S2,35,-3017.9271,3.562,2027.6,within lifetime
honda,DK,CIVIC E:HEV,ICE,S2,1,-2276.7189,4.269,2028.3,within lifetime
honda,DK,E:NY1,BEV,S2,510,16652.5014,42.084,2066.1,after lifetime
honda,DK,HR-V E:HEV,HEV,S2,161,-5734.2194,1.149,2025.1,within lifetime
honda,DK,HR-V E:HEV,ICE,S2,1,-5292.8518,1.524,2025.5,within lifetime
honda,DK,JAZZ E:HEV,HEV,S2,51,-2315.2398,4.231,2028.2,within lifetime
honda,EE,CIVIC,HEV,S2,39,326.1627,10.346,2034.3,within lifetime
