company,destination,model,powertrain,units,reason
hyundai,LU,G90 GENESIS G90,HEV,1,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,I 30,HEV,42,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,KONA KAUAI,HEV,92,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,SANTA FE,HEV,3,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,TUCSON IX35,HEV,246,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,DE,I20 N RALLY 2,ICE,17,the registration dataset reports no certified intensity for this cell
hyundai,DE,PALISADE,ICE,1,the registration dataset reports no certified intensity for this cell
hyundai,LU,BAYON,ICE,23,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,G80 GENESIS G80,ICE,1,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,I 30,ICE,8,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,I 30 N,ICE,51,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,I10,ICE,71,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,I20,ICE,103,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,I20 N,ICE,8,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,KONA KAUAI,ICE,97,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,KONA N KAUAI N,ICE,6,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,STARIA,ICE,4,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,STARIA PREMIUM,ICE,7,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,RO,TUCSON IX35 LM,ICE,1,the registration dataset reports no certified intensity for this cell
hyundai,AT,SANTA FE,PHEV,140,no sourced utility factor: the registration data publish only combined values
hyundai,AT,TUCSON IX35,PHEV,312,no sourced utility factor: the registration data publish only combined values
hyundai,BE,SANTA FE,PHEV,44,no sourced utility factor: the registration data publish only combined values
hyundai,BE,TUCSON IX35,PHEV,1192,no sourced utility factor: the registration data publish only combined values
hyundai,BG,SANTA FE,PHEV,31,no sourced utility factor: the registration data publish only combined values
hyundai,BG,TUCSON IX35,PHEV,129,no sourced utility factor: the registration data publish only combined values
hyundai,CY,SANTA FE,PHEV,4,no sourced utility factor: the registration data publish only combined values
hyundai,CY,TUCSON IX35,PHEV,59,no sourced utility factor: the registration data publish only combined values
hyundai,CZ,SANTA FE,PHEV,63,no sourced utility factor: the registration data publish only combined values
hyundai,CZ,TUCSON IX35,PHEV,219,no sourced utility factor: the registration data publish only combined values
hyundai,DE,MX-5,PHEV,2,no sourced utility factor: the registration data publish only combined values
hyundai,DE,SANTA FE,PHEV,845,no sourced utility factor: the registration data publish only combined values
hyundai,DE,TUCSON IX35,PHEV,3501,no sourced utility factor: the registration data publish only combined values
hyundai,DK,SANTA FE,PHEV,47,no sourced utility factor: the registration data publish only combined values
hyundai,DK,TUCSON IX35,PHEV,205,no sourced utility factor: the registration data publish only combined values
hyundai,EE,SANTA FE,PHEV,7,no sourced utility factor: the registration data publish only combined values
hyundai,EE,TUCSON IX35,PHEV,19,no sourced utility factor: the registration data publish only combined values
hyundai,ES,SANTA FE,PHEV,363,no sourced utility factor: the registration data publish only combined values
hyundai,ES,TUCSON IX35,PHEV,2249,no sourced utility factor: the registration data publish only combined values
hyundai,FI,SANTA FE,PHEV,29,no sourced utility factor: the registration data publish only combined values
hyundai,FI,TUCSON IX35,PHEV,337,no sourced utility factor: the registration data publish only combined values
hyundai,FR,SANTA FE,PHEV,814,no sourced utility factor: the registration data publish only combined values
hyundai,FR,TUCSON IX35,PHEV,1642,no sourced utility factor: the registration data publish only combined values
hyundai,GR,SANTA FE,PHEV,8,no sourced utility factor: the registration data publish only combined values
hyundai,GR,TUCSON IX35,PHEV,84,no sourced utility factor: the registration data publish only combined values
hyundai,HR,SANTA FE,PHEV,3,no sourced utility factor: the registration data publish only combined values
hyundai,HR,TUCSON IX35,PHEV,41,no sourced utility factor: the registration data publish only combined values
hyundai,HU,SANTA FE,PHEV,33,no sourced utility factor: the registration data publish only combined values
hyundai,HU,TUCSON IX35,PHEV,295,no sourced utility factor: the registration data publish only combined values
hyundai,IE,SANTA FE,PHEV,258,no sourced utility factor: the registration data publish only combined values
hyundai,IE,TUCSON IX35,PHEV,1048,no sourced utility factor: the registration data publish only combined values
hyundai,IT,SANTA FE,PHEV,30,no sourced utility factor: the registration data publish only combined values
hyundai,IT,TUCSON IX35,PHEV,614,no sourced utility factor: the registration data publish only combined values
hyundai,LT,SANTA FE,PHEV,7,no sourced utility factor: the registration data publish only combined values
hyundai,LT,TUCSON IX35,PHEV,41,no sourced utility factor: the registration data publish only combined values
hyundai,LU,SANTA FE,PHEV,6,no sourced utility factor: the registration data publish only combined values
hyundai,LU,TUCSON IX35,PHEV,83,no sourced utility factor: the registration data publish only combined values
hyundai,LV,SANTA FE,PHEV,14,no sourced utility factor: the registration data publish only combined values
hyundai,LV,TUCSON IX35,PHEV,7,no sourced utility factor: the registration data publish only combined values
hyundai,MT,TUCSON IX35,PHEV,12,no sourced utility factor: the registration data publish only combined values
hyundai,NL,SANTA FE,PHEV,173,no sourced utility factor: the registration data publish only combined values
hyundai,NL,TUCSON IX35,PHEV,1938,no sourced utility factor: the registration data publish only combined values
hyundai,PL,SANTA FE,PHEV,96,no sourced utility factor: the registration data publish only combined values
hyundai,PL,TUCSON IX35,PHEV,74,no sourced utility factor: the registration data publish only combined values
hyundai,PT,SANTA FE,PHEV,46,no sourced utility factor: the registration data publish only combined values
hyundai,PT,TUCSON IX35,PHEV,213,no sourced utility factor: the registration data publish only combined values
hyundai,RO,SANTA FE,PHEV,85,no sourced utility factor: the registration data publish only combined values
hyundai,RO,TUCSON IX35,PHEV,490,no sourced utility factor: the registration data publish only combined values
hyundai,SE,SANTA FE,PHEV,149,no sourced utility factor: the registration data publish only combined values
hyundai,SE,TUCSON IX35,PHEV,334,no sourced utility factor: the registration data publish only combined values
hyundai,SI,SANTA FE,PHEV,19,no sourced utility factor: the registration data publish only combined values
hyundai,SI,TUCSON / 1.6 / T-GDI PHEV AUT. 4WD,PHEV,3,no sourced utility factor: the registration data publish only combined values
hyundai,SI,TUCSON IX35,PHEV,92,no sourced utility factor: the registration data publish only combined values
hyundai,SK,SANTA FE,PHEV,36,no sourced utility factor: the registration data publish only combined values
hyundai,SK,TUCSON IX35,PHEV,39,no sourced utility factor: the registration data publish only combined values
kia,DE,,BEV,7,the registration dataset reports no certified intensity for this cell
kia,DE,CT,BEV,5,the registration dataset reports no certified intensity for this cell
kia,DE,CV,BEV,13,the registration dataset reports no certified intensity for this cell
kia,DE,CV E GT,BEV,2,the registration dataset reports no certified intensity for this cell
kia,DE,CV GT,BEV,1,the registration dataset reports no certified intensity for this cell
kia,DE,CVE GT,BEV,1,the registration dataset reports no certified intensity for this cell
kia,DE,KIA MOTOR (ROK),BEV,1,the registration dataset reports no certified intensity for this cell
kia,DE,MV,BEV,5,the registration dataset reports no certified intensity for this cell
kia,DE,MV GT,BEV,4,the registration dataset reports no certified intensity for this cell
kia,DE,QV,BEV,1,the registration dataset reports no certified intensity for this cell
kia,DE,SG2,BEV,1,the registration dataset reports no certified intensity for this cell
kia,DE,SV,BEV,10,the registration dataset reports no certified intensity for this cell
kia,DE,SW,BEV,2,the registration dataset reports no certified intensity for this cell
kia,DE,SW1,BEV,1,the registration dataset reports no certified intensity for this cell
kia,DE,SZ1,BEV,3,the registration dataset reports no certified intensity for this cell
kia,LU,EV3,BEV,34,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,EV6,BEV,204,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,EV9,BEV,57,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,NIRO,BEV,64,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,SOUL,BEV,5,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,CEED,HEV,36,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,NIRO,HEV,38,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,SORENTO,HEV,19,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,SPORTAGE,HEV,257,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,STONIC,HEV,10,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,XCEED,HEV,18,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,DE,KIA TELLURIDE,ICE,1,the registration dataset reports no certified intensity for this cell
kia,DE,RAY,ICE,3,the registration dataset reports no certified intensity for this cell
kia,DE,TELLURIDE,ICE,2,the registration dataset reports no certified intensity for this cell
kia,LU,CEED,ICE,102,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,PICANTO,ICE,266,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,PROCEED,ICE,34,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,SORENTO,ICE,11,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,SPORTAGE,ICE,4,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,STONIC,ICE,234,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,LU,XCEED,ICE,50,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
kia,AT,CEED,PHEV,1,no sourced utility factor: the registration data publish only combined values
kia,AT,NIRO,PHEV,11,no sourced utility factor: the registration data publish only combined values
kia,AT,SORENTO,PHEV,27,no sourced utility factor: the registration data publish only combined values
kia,AT,SPORTAGE,PHEV,88,no sourced utility factor: the registration data publish only combined values
kia,BE,CEED,PHEV,1255,no sourced utility factor: the registration data publish only combined values
kia,BE,NIRO,PHEV,779,no sourced utility factor: the registration data publish only combined values
kia,BE,SORENTO,PHEV,154,no sourced utility factor: the registration data publish only combined values
kia,BE,SPORTAGE,PHEV,671,no sourced utility factor: the registration data publish only combined values
kia,BE,XCEED,PHEV,456,no sourced utility factor: the registration data publish only combined values
kia,BG,NIRO,PHEV,3,no sourced utility factor: the registration data publish only combined values
kia,BG,SORENTO,PHEV,5,no sourced utility factor: the registration data publish only combined values
kia,BG,SPORTAGE,PHEV,46,no sourced utility factor: the registration data publish only combined values
kia,CY,SPORTAGE,PHEV,79,no sourced utility factor: the registration data publish only combined values
kia,CZ,CEED,PHEV,7,no sourced utility factor: the registration data publish only combined values
kia,CZ,NIRO,PHEV,1,no sourced utility factor: the registration data publish only combined values
kia,CZ,SORENTO,PHEV,15,no sourced utility factor: the registration data publish only combined values
kia,CZ,SPORTAGE,PHEV,30,no sourced utility factor: the registration data publish only combined values
kia,CZ,XCEED,PHEV,3,no sourced utility factor: the registration data publish only combined values
kia,DE,CEED,PHEV,986,no sourced utility factor: the registration data publish only combined values
kia,DE,MQ4,PHEV,4,no sourced utility factor: the registration data publish only combined values
kia,DE,NIRO,PHEV,598,no sourced utility factor: the registration data publish only combined values
kia,DE,SG2,PHEV,1,no sourced utility factor: the registration data publish only combined values
kia,DE,SORENTO,PHEV,536,no sourced utility factor: the registration data publish only combined values
kia,DE,SPORTAGE,PHEV,1948,no sourced utility factor: the registration data publish only combined values
kia,DE,XCEED,PHEV,242,no sourced utility factor: the registration data publish only combined values
kia,DK,CEED,PHEV,121,no sourced utility factor: the registration data publish only combined values
kia,DK,NIRO,PHEV,22,no sourced utility factor: the registration data publish only combined values
kia,DK,SORENTO,PHEV,66,no sourced utility factor: the registration data publish only combined values
kia,DK,SPORTAGE,PHEV,105,no sourced utility factor: the registration data publish only combined values
kia,DK,XCEED,PHEV,51,no sourced utility factor: the registration data publish only combined values
kia,EE,SORENTO,PHEV,5,no sourced utility factor: the registration data publish only combined values
kia,EE,SPORTAGE,PHEV,29,no sourced utility factor: the registration data publish only combined values
kia,ES,CEED,PHEV,200,no sourced utility factor: the registration data publish only combined values
kia,ES,NIRO,PHEV,528,no sourced utility factor: the registration data publish only combined values
kia,ES,SORENTO,PHEV,345,no sourced utility factor: the registration data publish only combined values
kia,ES,SPORTAGE,PHEV,1116,no sourced utility factor: the registration data publish only combined values
kia,ES,XCEED,PHEV,391,no sourced utility factor: the registration data publish only combined values
kia,FI,CEED,PHEV,273,no sourced utility factor: the registration data publish only combined values
kia,FI,NIRO,PHEV,133,no sourced utility factor: the registration data publish only combined values
kia,FI,SORENTO,PHEV,131,no sourced utility factor: the registration data publish only combined values
kia,FI,SPORTAGE,PHEV,430,no sourced utility factor: the registration data publish only combined values
kia,FI,XCEED,PHEV,101,no sourced utility factor: the registration data publish only combined values
kia,FR,CEED,PHEV,122,no sourced utility factor: the registration data publish only combined values
kia,FR,NIRO,PHEV,610,no sourced utility factor: the registration data publish only combined values
kia,FR,SORENTO,PHEV,774,no sourced utility factor: the registration data publish only combined values
kia,FR,SPORTAGE,PHEV,2684,no sourced utility factor: the registration data publish only combined values
kia,FR,XCEED,PHEV,158,no sourced utility factor: the registration data publish only combined values
kia,GR,NIRO,PHEV,31,no sourced utility factor: the registration data publish only combined values
kia,GR,SPORTAGE,PHEV,85,no sourced utility factor: the registration data publish only combined values
kia,GR,XCEED,PHEV,67,no sourced utility factor: the registration data publish only combined values
kia,HR,SORENTO,PHEV,1,no sourced utility factor: the registration data publish only combined values
kia,HR,SPORTAGE,PHEV,3,no sourced utility factor: the registration data publish only combined values
kia,HR,XCEED,PHEV,2,no sourced utility factor: the registration data publish only combined values
kia,HU,CEED,PHEV,37,no sourced utility factor: the registration data publish only combined values
kia,HU,NIRO,PHEV,42,no sourced utility factor: the registration data publish only combined values
kia,HU,SORENTO,PHEV,47,no sourced utility factor: the registration data publish only combined values
kia,HU,SPORTAGE,PHEV,88,no sourced utility factor: the registration data publish only combined values
kia,HU,XCEED,PHEV,6,no sourced utility factor: the registration data publish only combined values
kia,IE,CEED,PHEV,25,no sourced utility factor: the registration data publish only combined values
kia,IE,NIRO,PHEV,269,no sourced utility factor: the registration data publish only combined values
kia,IE,SORENTO,PHEV,247,no sourced utility factor: the registration data publish only combined values
kia,IE,SPORTAGE,PHEV,696,no sourced utility factor: the registration data publish only combined values
kia,IE,XCEED,PHEV,215,no sourced utility factor: the registration data publish only combined values
kia,IT,CEED,PHEV,78,no sourced utility factor: the registration data publish only combined values
kia,IT,NIRO,PHEV,224,no sourced utility factor: the registration data publish only combined values
kia,IT,SORENTO,PHEV,57,no sourced utility factor: the registration data publish only combined values
kia,IT,SPORTAGE,PHEV,641,no sourced utility factor: the registration data publish only combined values
kia,IT,XCEED,PHEV,39,no sourced utility factor: the registration data publish only combined values
kia,LT,SORENTO,PHEV,4,no sourced utility factor: the registration data publish only combined values
kia,LT,SPORTAGE,PHEV,91,no sourced utility factor: the registration data publish only combined values
kia,LU,CEED,PHEV,16,no sourced utility factor: the registration data publish only combined values
kia,LU,NIRO,PHEV,13,no sourced utility factor: the registration data publish only combined values
kia,LU,SORENTO,PHEV,10,no sourced utility factor: the registration data publish only combined values
kia,LU,SPORTAGE,PHEV,51,no sourced utility factor: the registration data publish only combined values
kia,LU,XCEED,PHEV,7,no sourced utility factor: the registration data publish only combined values
kia,LV,SORENTO,PHEV,4,no sourced utility factor: the registration data publish only combined values
kia,LV,SPORTAGE,PHEV,27,no sourced utility factor: the registration data publish only combined values
kia,MT,SORENTO,PHEV,2,no sourced utility factor: the registration data publish only combined values
kia,MT,SPORTAGE,PHEV,17,no sourced utility factor: the registration data publish only combined values
kia,MT,XCEED,PHEV,2,no sourced utility factor: the registration data publish only combined values
kia,NL,CEED,PHEV,445,no sourced utility factor: the registration data publish only combined values
kia,NL,NIRO,PHEV,513,no sourced utility factor: the registration data publish only combined values
kia,NL,SORENTO,PHEV,417,no sourced utility factor: the registration data publish only combined values
kia,NL,SPORTAGE,PHEV,1333,no sourced utility factor: the registration data publish only combined values
kia,NL,XCEED,PHEV,54,no sourced utility factor: the registration data publish only combined values
kia,PL,CEED,PHEV,270,no sourced utility factor: the registration data publish only combined values
kia,PL,NIRO,PHEV,53,no sourced utility factor: the registration data publish only combined values
kia,PL,SORENTO,PHEV,117,no sourced utility factor: the registration data publish only combined values
kia,PL,SPORTAGE,PHEV,326,no sourced utility factor: the registration data publish only combined values
kia,PL,XCEED,PHEV,141,no sourced utility factor: the registration data publish only combined values
kia,PT,CEED,PHEV,274,no sourced utility factor: the registration data publish only combined values
kia,PT,SORENTO,PHEV,84,no sourced utility factor: the registration data publish only combined values
kia,PT,SPORTAGE,PHEV,417,no sourced utility factor: the registration data publish only combined values
kia,PT,XCEED,PHEV,324,no sourced utility factor: the registration data publish only combined values
kia,RO,NIRO,PHEV,7,no sourced utility factor: the registration data publish only combined values
kia,RO,SORENTO,PHEV,10,no sourced utility factor: the registration data publish only combined values
kia,RO,SPORTAGE,PHEV,118,no sourced utility factor: the registration data publish only combined values
kia,RO,XCEED,PHEV,149,no sourced utility factor: the registration data publish only combined values
kia,SE,CEED,PHEV,3463,no sourced utility factor: the registration data publish only combined values
kia,SE,NIRO,PHEV,1465,no sourced utility factor: the registration data publish only combined values
kia,SE,SORENTO,PHEV,458,no sourced utility factor: the registration data publish only combined values
kia,SE,SPORTAGE,PHEV,3636,no sourced utility factor: the registration data publish only combined values
kia,SE,XCEED,PHEV,439,no sourced utility factor: the registration data publish only combined values
kia,SI,SPORTAGE,PHEV,3,no sourced utility factor: the registration data publish only combined values
kia,SK,CEED,PHEV,14,no sourced utility factor: the registration data publish only combined values
kia,SK,NIRO,PHEV,7,no sourced utility factor: the registration data publish only combined values
kia,SK,SORENTO,PHEV,17,no sourced utility factor: the registration data publish only combined values
kia,SK,SPORTAGE,PHEV,104,no sourced utility factor: the registration data publish only combined values
kia,SK,XCEED,PHEV,7,no sourced utility factor: the registration data publish only combined values
