market,company,destination,segment,cohort_year,model,powertrain,units,reason,coverage_note
EU27,nissan,RO,passenger_car,2024,QASHQAI,ICE,2,the registration dataset reports no certified intensity for this cell,
EU27,nissan,RO,passenger_car,2024,X-TRAIL,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,AT,passenger_car,2024,TOYOTA MIRAI,FCEV,1,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,toyota,BE,passenger_car,2024,BZ4X,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,BE,passenger_car,2024,TOYOTA MIRAI,FCEV,4,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,toyota,CY,passenger_car,2024,RAV4,PHEV,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,CAMRY LE,ICE,6,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,CAMRY SE,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,COROLLA GR,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,HIGHLANDER XLE,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,LAND CRUISER 300 SERIES,ICE,3,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,PROACE VERSO,BEV,7,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,SEQUOIA HYBRID,HEV,3,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,SEQUOIA TRD PRO HYBRID,HEV,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,TOYOTA 4-RUNNER,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,TOYOTA COROLLA GR,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,TOYOTA MIRAI,FCEV,148,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,toyota,DE,passenger_car,2024,TOYOTA SEQUOIA,HEV,1,the registration dataset reports no certified intensity for this cell,
EU27,toyota,DE,passenger_car,2024,TOYOTA SEQUOIA HYBRID,HEV,5,the registration dataset reports no certified intensity for this cell,
EU27,toyota,EE,passenger_car,2024,TOYOTA MIRAI,FCEV,5,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,toyota,FR,passenger_car,2024,TOYOTA MIRAI,FCEV,530,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,toyota,HU,passenger_car,2024,TOYOTA MIRAI,FCEV,1,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,toyota,IT,passenger_car,2024,TOYOTA MIRAI,FCEV,1,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
JP,nissan,JP,passenger_car,2024,Kicks,,14346,"no certified row in either fuel-economy-list edition on hand for this nameplate, so the units are counted and left unassessed (withdrawn from the Japanese line-up before either fuel-economy edition on hand (March 2025 and March 2026), so no certified value exists to compute a result with)",
JP,nissan,JP,passenger_car,2025,Kicks,,9595,"no certified row in either fuel-economy-list edition on hand for this nameplate, so the units are counted and left unassessed (withdrawn from the Japanese line-up before either fuel-economy edition on hand (March 2025 and March 2026), so no certified value exists to compute a result with)",
JP,toyota,JP,passenger_car,2024,JPN Taxi,,8103,"no certified row in either fuel-economy-list edition on hand for this nameplate, so the units are counted and left unassessed (out of scope of the technology tables read: an LPG hybrid, certified in the LPG passenger-car workbook, which this build does not read)",
KR,hyundai,KR,freight,2024,HCV,,26864,"out_of_scope: heavy trucks and coaches above 3.5 t: Korea's fuel-economy labelling scheme does not certify them, so no product intensity exists; counted and withheld",Korea domestic sales as published in the exporter's IR release
KR,hyundai,KR,freight,2025,HCV,,26799,"out_of_scope: heavy trucks and coaches above 3.5 t: Korea's fuel-economy labelling scheme does not certify them, so no product intensity exists; counted and withheld",Korea domestic sales as published in the exporter's IR release
KR,kia,KR,bus,2024,Bus,ICE,1152,no KEA label row for Bus ICE in vehicle_technology_kr_kea.csv,"retail sales as published by the exporter's investor-relations release; partial year: the source covers 2024-01..2024-10 only, not the full cohort year"
KR,kia,KR,bus,2024,Bus,ICE,235,no KEA label row for Bus ICE in vehicle_technology_kr_kea.csv,"estimated months: the exporter's investor-relations node for this year stopped before December and was never refreshed, so these units are the observed months grown by the ratio the same destination showed in the next year's workbook; partial year: the source covers 2024-11..2024-12 only, not the full cohort year"
KR,kia,KR,bus,2025,Bus,ICE,1411,no KEA label row for Bus ICE in vehicle_technology_kr_kea.csv,retail sales as published by the exporter's investor-relations release
KR,kia,KR,bus,2026,Bus,ICE,832,no KEA label row for Bus ICE in vehicle_technology_kr_kea.csv,"retail sales as published by the exporter's investor-relations release; partial year: the source covers 2026-01..2026-07 only, not the full cohort year"
KR,kia,KR,passenger_car,2024,Millitary,,1697,out_of_scope: military vehicles as labelled in the IR file,"retail sales as published by the exporter's investor-relations release; partial year: the source covers 2024-01..2024-10 only, not the full cohort year"
KR,kia,KR,passenger_car,2024,Millitary,,346,out_of_scope: military vehicles as labelled in the IR file,"estimated months: the exporter's investor-relations node for this year stopped before December and was never refreshed, so these units are the observed months grown by the ratio the same destination showed in the next year's workbook; partial year: the source covers 2024-11..2024-12 only, not the full cohort year"
KR,kia,KR,passenger_car,2025,Millitary,,2429,out_of_scope: military vehicles as labelled in the IR file,retail sales as published by the exporter's investor-relations release
KR,kia,KR,passenger_car,2026,Millitary,,781,out_of_scope: military vehicles as labelled in the IR file,"retail sales as published by the exporter's investor-relations release; partial year: the source covers 2026-01..2026-07 only, not the full cohort year"
KR,kia,KR,passenger_car,2024,Niro Plus EV,,406,unallocated: the raised-roof taxi derivative of the previous-generation Niro EV; the KEA label list carries no Niro Plus row so no certified intensity is on hand,"retail sales as published by the exporter's investor-relations release; partial year: the source covers 2024-01..2024-10 only, not the full cohort year"
KR,kia,KR,passenger_car,2024,Niro Plus EV,,83,unallocated: the raised-roof taxi derivative of the previous-generation Niro EV; the KEA label list carries no Niro Plus row so no certified intensity is on hand,"estimated months: the exporter's investor-relations node for this year stopped before December and was never refreshed, so these units are the observed months grown by the ratio the same destination showed in the next year's workbook; partial year: the source covers 2024-11..2024-12 only, not the full cohort year"
KR,kia,KR,passenger_car,2025,Niro Plus EV,,1,unallocated: the raised-roof taxi derivative of the previous-generation Niro EV; the KEA label list carries no Niro Plus row so no certified intensity is on hand,retail sales as published by the exporter's investor-relations release
US,hyundai,US,light_duty,2024,IONIQ 5 Robo Taxi,,49,out_of_scope: fleet robotaxi vehicles (16 and 49 units); not a retail passenger-car cohort,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,hyundai,US,light_duty,2025,IONIQ 5 Robo Taxi,,16,out_of_scope: fleet robotaxi vehicles (16 and 49 units); not a retail passenger-car cohort,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,hyundai,US,light_duty,2025,IONIQ 9,BEV,5189,no EPA technology row for Ioniq 9 BEV at or before model year 2025 in vehicle_technology_us_epa.csv,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,kia,US,light_duty,2024,Rio,ICE,1917,no EPA technology row for Rio ICE at or before model year 2024 in vehicle_technology_us_epa.csv,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,nissan,US,light_duty,2025,Maxima,ICE,14,no EPA technology row for Maxima ICE at or before model year 2025 in vehicle_technology_us_epa.csv,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,nissan,US,light_duty,2024,Maxima,ICE,942,no EPA technology row for Maxima ICE at or before model year 2024 in vehicle_technology_us_epa.csv,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,toyota,US,light_duty,2025,OTHER (NOT PRINTED AS A MODEL ROW),,6,unallocated: the release's division total exceeds the model rows it prints; the difference is kept and withheld,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,toyota,US,light_duty,2024,OTHER (NOT PRINTED AS A MODEL ROW),,15,unallocated: the release's division total exceeds the model rows it prints; the difference is kept and withheld,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,toyota,US,light_duty,2024,SEQUOIA,ICE,6,no EPA technology row for Sequoia ICE at or before model year 2024 in vehicle_technology_us_epa.csv,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,toyota,US,light_duty,2025,SIENNA,ICE,10,no EPA technology row for Sienna ICE at or before model year 2025 in vehicle_technology_us_epa.csv,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
US,toyota,US,light_duty,2024,SIENNA,ICE,29,no EPA technology row for Sienna ICE at or before model year 2024 in vehicle_technology_us_epa.csv,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total)
