market,company,destination,cohort_year,model,powertrain,units,reason,coverage_note
EU27,hyundai,FR,2024,NEXO,FCEV,1,no sourced hydrogen supply emissions intensity for the destination,
EU27,hyundai,SE,2024,NEXO,FCEV,2,no sourced hydrogen supply emissions intensity for the destination,
EU27,hyundai,DE,2024,PALISADE,HEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,LU,2024,BAYON,HEV,11,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,G90 GENESIS G90,HEV,1,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,I 30,HEV,42,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,KONA KAUAI,HEV,92,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,SANTA FE,HEV,3,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,TUCSON IX35,HEV,246,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,DE,2024,I20 N RALLY 2,ICE,17,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,2024,PALISADE,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,LU,2024,BAYON,ICE,23,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,G80 GENESIS G80,ICE,1,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,I 30,ICE,8,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,I 30 N,ICE,51,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,I10,ICE,71,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,I20,ICE,103,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,I20 N,ICE,8,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,KONA KAUAI,ICE,97,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,KONA N KAUAI N,ICE,6,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,STARIA,ICE,4,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,LU,2024,STARIA PREMIUM,ICE,7,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,hyundai,RO,2024,TUCSON IX35 LM,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,AT,2024,SANTA FE,PHEV,140,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,AT,2024,TUCSON IX35,PHEV,312,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,BE,2024,SANTA FE,PHEV,44,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,BE,2024,TUCSON IX35,PHEV,1192,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,BG,2024,SANTA FE,PHEV,31,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,BG,2024,TUCSON IX35,PHEV,129,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,CY,2024,SANTA FE,PHEV,4,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,CY,2024,TUCSON IX35,PHEV,59,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,CZ,2024,SANTA FE,PHEV,63,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,CZ,2024,TUCSON IX35,PHEV,219,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,DE,2024,MX-5,PHEV,2,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,DE,2024,SANTA FE,PHEV,845,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,DE,2024,TUCSON IX35,PHEV,3501,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,DK,2024,SANTA FE,PHEV,47,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,DK,2024,TUCSON IX35,PHEV,205,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,EE,2024,SANTA FE,PHEV,7,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,EE,2024,TUCSON IX35,PHEV,19,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,ES,2024,SANTA FE,PHEV,363,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,ES,2024,TUCSON IX35,PHEV,2249,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,FI,2024,SANTA FE,PHEV,29,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,FI,2024,TUCSON IX35,PHEV,337,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,FR,2024,SANTA FE,PHEV,814,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,FR,2024,TUCSON IX35,PHEV,1642,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,GR,2024,SANTA FE,PHEV,8,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,GR,2024,TUCSON IX35,PHEV,84,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,HR,2024,SANTA FE,PHEV,3,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,HR,2024,TUCSON IX35,PHEV,41,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,HU,2024,SANTA FE,PHEV,33,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,HU,2024,TUCSON IX35,PHEV,295,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,IE,2024,SANTA FE,PHEV,258,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,IE,2024,TUCSON IX35,PHEV,1048,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,IT,2024,SANTA FE,PHEV,30,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,IT,2024,TUCSON IX35,PHEV,614,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,LT,2024,SANTA FE,PHEV,7,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,LT,2024,TUCSON IX35,PHEV,41,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,LU,2024,SANTA FE,PHEV,6,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,LU,2024,TUCSON IX35,PHEV,83,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,LV,2024,SANTA FE,PHEV,14,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,LV,2024,TUCSON IX35,PHEV,7,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,MT,2024,TUCSON IX35,PHEV,12,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,NL,2024,SANTA FE,PHEV,173,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,NL,2024,TUCSON IX35,PHEV,1938,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,PL,2024,SANTA FE,PHEV,96,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,PL,2024,TUCSON IX35,PHEV,74,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,PT,2024,SANTA FE,PHEV,46,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,PT,2024,TUCSON IX35,PHEV,213,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,RO,2024,SANTA FE,PHEV,85,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,RO,2024,TUCSON IX35,PHEV,490,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,SE,2024,SANTA FE,PHEV,149,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,SE,2024,TUCSON IX35,PHEV,334,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,SI,2024,SANTA FE,PHEV,19,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,SI,2024,TUCSON / 1.6 / T-GDI PHEV AUT. 4WD,PHEV,3,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,SI,2024,TUCSON IX35,PHEV,92,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,SK,2024,SANTA FE,PHEV,36,no sourced utility factor: the sales data publish only combined values,
EU27,hyundai,SK,2024,TUCSON IX35,PHEV,39,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DE,2024,,BEV,7,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,CT,BEV,5,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,CV,BEV,13,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,CV E GT,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,CV GT,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,CVE GT,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,KIA MOTOR (ROK),BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,MV,BEV,5,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,MV GT,BEV,4,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,QV,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,SG2,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,SV,BEV,10,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,SW,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,SW1,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,SZ1,BEV,3,the registration dataset reports no certified intensity for this cell,
EU27,kia,LU,2024,EV3,BEV,34,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,EV6,BEV,204,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,EV9,BEV,57,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,NIRO,BEV,64,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,SOUL,BEV,5,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,CEED,HEV,36,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,NIRO,HEV,38,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,SORENTO,HEV,19,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,SPORTAGE,HEV,257,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,STONIC,HEV,10,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,XCEED,HEV,18,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,DE,2024,KIA TELLURIDE,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,RAY,ICE,3,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,2024,TELLURIDE,ICE,2,the registration dataset reports no certified intensity for this cell,
EU27,kia,LU,2024,CEED,ICE,102,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,PICANTO,ICE,266,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,PROCEED,ICE,34,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,SORENTO,ICE,11,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,SPORTAGE,ICE,4,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,STONIC,ICE,234,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,LU,2024,XCEED,ICE,50,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately",
EU27,kia,AT,2024,CEED,PHEV,1,no sourced utility factor: the sales data publish only combined values,
EU27,kia,AT,2024,NIRO,PHEV,11,no sourced utility factor: the sales data publish only combined values,
EU27,kia,AT,2024,SORENTO,PHEV,27,no sourced utility factor: the sales data publish only combined values,
EU27,kia,AT,2024,SPORTAGE,PHEV,88,no sourced utility factor: the sales data publish only combined values,
EU27,kia,BE,2024,CEED,PHEV,1255,no sourced utility factor: the sales data publish only combined values,
EU27,kia,BE,2024,NIRO,PHEV,779,no sourced utility factor: the sales data publish only combined values,
EU27,kia,BE,2024,SORENTO,PHEV,154,no sourced utility factor: the sales data publish only combined values,
EU27,kia,BE,2024,SPORTAGE,PHEV,671,no sourced utility factor: the sales data publish only combined values,
EU27,kia,BE,2024,XCEED,PHEV,456,no sourced utility factor: the sales data publish only combined values,
EU27,kia,BG,2024,NIRO,PHEV,3,no sourced utility factor: the sales data publish only combined values,
EU27,kia,BG,2024,SORENTO,PHEV,5,no sourced utility factor: the sales data publish only combined values,
EU27,kia,BG,2024,SPORTAGE,PHEV,46,no sourced utility factor: the sales data publish only combined values,
EU27,kia,CY,2024,SPORTAGE,PHEV,79,no sourced utility factor: the sales data publish only combined values,
EU27,kia,CZ,2024,CEED,PHEV,7,no sourced utility factor: the sales data publish only combined values,
EU27,kia,CZ,2024,NIRO,PHEV,1,no sourced utility factor: the sales data publish only combined values,
EU27,kia,CZ,2024,SORENTO,PHEV,15,no sourced utility factor: the sales data publish only combined values,
EU27,kia,CZ,2024,SPORTAGE,PHEV,30,no sourced utility factor: the sales data publish only combined values,
EU27,kia,CZ,2024,XCEED,PHEV,3,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DE,2024,CEED,PHEV,986,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DE,2024,MQ4,PHEV,4,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DE,2024,NIRO,PHEV,598,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DE,2024,SG2,PHEV,1,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DE,2024,SORENTO,PHEV,536,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DE,2024,SPORTAGE,PHEV,1948,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DE,2024,XCEED,PHEV,242,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DK,2024,CEED,PHEV,121,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DK,2024,NIRO,PHEV,22,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DK,2024,SORENTO,PHEV,66,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DK,2024,SPORTAGE,PHEV,105,no sourced utility factor: the sales data publish only combined values,
EU27,kia,DK,2024,XCEED,PHEV,51,no sourced utility factor: the sales data publish only combined values,
EU27,kia,EE,2024,SORENTO,PHEV,5,no sourced utility factor: the sales data publish only combined values,
EU27,kia,EE,2024,SPORTAGE,PHEV,29,no sourced utility factor: the sales data publish only combined values,
EU27,kia,ES,2024,CEED,PHEV,200,no sourced utility factor: the sales data publish only combined values,
EU27,kia,ES,2024,NIRO,PHEV,528,no sourced utility factor: the sales data publish only combined values,
EU27,kia,ES,2024,SORENTO,PHEV,345,no sourced utility factor: the sales data publish only combined values,
EU27,kia,ES,2024,SPORTAGE,PHEV,1116,no sourced utility factor: the sales data publish only combined values,
EU27,kia,ES,2024,XCEED,PHEV,391,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FI,2024,CEED,PHEV,273,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FI,2024,NIRO,PHEV,133,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FI,2024,SORENTO,PHEV,131,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FI,2024,SPORTAGE,PHEV,430,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FI,2024,XCEED,PHEV,101,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FR,2024,CEED,PHEV,122,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FR,2024,NIRO,PHEV,610,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FR,2024,SORENTO,PHEV,774,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FR,2024,SPORTAGE,PHEV,2684,no sourced utility factor: the sales data publish only combined values,
EU27,kia,FR,2024,XCEED,PHEV,158,no sourced utility factor: the sales data publish only combined values,
EU27,kia,GR,2024,NIRO,PHEV,31,no sourced utility factor: the sales data publish only combined values,
EU27,kia,GR,2024,SPORTAGE,PHEV,85,no sourced utility factor: the sales data publish only combined values,
EU27,kia,GR,2024,XCEED,PHEV,67,no sourced utility factor: the sales data publish only combined values,
EU27,kia,HR,2024,SORENTO,PHEV,1,no sourced utility factor: the sales data publish only combined values,
EU27,kia,HR,2024,SPORTAGE,PHEV,3,no sourced utility factor: the sales data publish only combined values,
EU27,kia,HR,2024,XCEED,PHEV,2,no sourced utility factor: the sales data publish only combined values,
EU27,kia,HU,2024,CEED,PHEV,37,no sourced utility factor: the sales data publish only combined values,
EU27,kia,HU,2024,NIRO,PHEV,42,no sourced utility factor: the sales data publish only combined values,
EU27,kia,HU,2024,SORENTO,PHEV,47,no sourced utility factor: the sales data publish only combined values,
EU27,kia,HU,2024,SPORTAGE,PHEV,88,no sourced utility factor: the sales data publish only combined values,
EU27,kia,HU,2024,XCEED,PHEV,6,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IE,2024,CEED,PHEV,25,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IE,2024,NIRO,PHEV,269,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IE,2024,SORENTO,PHEV,247,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IE,2024,SPORTAGE,PHEV,696,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IE,2024,XCEED,PHEV,215,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IT,2024,CEED,PHEV,78,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IT,2024,NIRO,PHEV,224,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IT,2024,SORENTO,PHEV,57,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IT,2024,SPORTAGE,PHEV,641,no sourced utility factor: the sales data publish only combined values,
EU27,kia,IT,2024,XCEED,PHEV,39,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LT,2024,SORENTO,PHEV,4,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LT,2024,SPORTAGE,PHEV,91,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LU,2024,CEED,PHEV,16,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LU,2024,NIRO,PHEV,13,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LU,2024,SORENTO,PHEV,10,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LU,2024,SPORTAGE,PHEV,51,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LU,2024,XCEED,PHEV,7,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LV,2024,SORENTO,PHEV,4,no sourced utility factor: the sales data publish only combined values,
EU27,kia,LV,2024,SPORTAGE,PHEV,27,no sourced utility factor: the sales data publish only combined values,
EU27,kia,MT,2024,SORENTO,PHEV,2,no sourced utility factor: the sales data publish only combined values,
EU27,kia,MT,2024,SPORTAGE,PHEV,17,no sourced utility factor: the sales data publish only combined values,
EU27,kia,MT,2024,XCEED,PHEV,2,no sourced utility factor: the sales data publish only combined values,
EU27,kia,NL,2024,CEED,PHEV,445,no sourced utility factor: the sales data publish only combined values,
EU27,kia,NL,2024,NIRO,PHEV,513,no sourced utility factor: the sales data publish only combined values,
EU27,kia,NL,2024,SORENTO,PHEV,417,no sourced utility factor: the sales data publish only combined values,
EU27,kia,NL,2024,SPORTAGE,PHEV,1333,no sourced utility factor: the sales data publish only combined values,
EU27,kia,NL,2024,XCEED,PHEV,54,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PL,2024,CEED,PHEV,270,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PL,2024,NIRO,PHEV,53,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PL,2024,SORENTO,PHEV,117,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PL,2024,SPORTAGE,PHEV,326,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PL,2024,XCEED,PHEV,141,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PT,2024,CEED,PHEV,274,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PT,2024,SORENTO,PHEV,84,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PT,2024,SPORTAGE,PHEV,417,no sourced utility factor: the sales data publish only combined values,
EU27,kia,PT,2024,XCEED,PHEV,324,no sourced utility factor: the sales data publish only combined values,
EU27,kia,RO,2024,NIRO,PHEV,7,no sourced utility factor: the sales data publish only combined values,
EU27,kia,RO,2024,SORENTO,PHEV,10,no sourced utility factor: the sales data publish only combined values,
EU27,kia,RO,2024,SPORTAGE,PHEV,118,no sourced utility factor: the sales data publish only combined values,
EU27,kia,RO,2024,XCEED,PHEV,149,no sourced utility factor: the sales data publish only combined values,
EU27,kia,SE,2024,CEED,PHEV,3463,no sourced utility factor: the sales data publish only combined values,
EU27,kia,SE,2024,NIRO,PHEV,1465,no sourced utility factor: the sales data publish only combined values,
EU27,kia,SE,2024,SORENTO,PHEV,458,no sourced utility factor: the sales data publish only combined values,
EU27,kia,SE,2024,SPORTAGE,PHEV,3636,no sourced utility factor: the sales data publish only combined values,
EU27,kia,SE,2024,XCEED,PHEV,439,no sourced utility factor: the sales data publish only combined values,
EU27,kia,SI,2024,SPORTAGE,PHEV,3,no sourced utility factor: the sales data publish only combined values,
EU27,kia,SK,2024,CEED,PHEV,14,no sourced utility factor: the sales data publish only combined values,
